      1 1.A.11.1.1	ammonium|ammonia
      2 1.B.18.3.5	polysaccharide
      1 1.B.18.3.7	exopolysaccharide
      2 1.B.22.1.3	protein polypeptide chain
      1 1.B.3.1.11	molecule
      1 1.B.3.1.7	molecule
      2 1.B.33.1.1	protein polypeptide chain
      2 1.B.33.2.3	protein polypeptide chain
      1 1.B.33.3.4	protein polypeptide chain
      1 1.B.33.4.1	protein polypeptide chain
      2 1.B.42.1.13	lipopolysaccharide
      3 1.B.42.1.2	lipopolysaccharide
      1 1.B.5.1.13	anion
      1 1.B.5.1.3	molecule
      1 1.B.60.1.6	molecule
      2 1.B.6.1.2	molecule
      1 1.B.6.2.12	molecule
      1 1.B.67.1.6	molecule
      4 1.B.76.1.4	copper(2+)
      1 1.B.80.2.5	molecule
      1 1.B.9.4.5	arene
      2 1.C.109.1.5	molecule
      1 1.C.113.1.2	molecule
      2 1.C.126.1.4	magnesium(2+)
      3 1.C.82.1.1	molecule
      3 1.F.1.1.2	neurotransmitter
      2 1.I.1.1.5	protein|(ribonucleotide)n+m
     12 1.I.3.1.1	molecule|macromolecule
      6 1.R.1.1.1	lipid
      3 1.W.2.1.8	deoxyribonucleic acid
      2 2.A.103.1.2	alpha-D-FucNAc4-(1->4)-beta-D-ManNAcA-(1->4)-D-GlcNAc-undecaprenyl diphosphate(3-)
      2 2.A.103.1.3	alpha-D-FucNAc4-(1->4)-beta-D-ManNAcA-(1->4)-D-GlcNAc-undecaprenyl diphosphate(3-)
      2 2.A.107.1.2	manganese(2+)
      1 2.A.108.2.3	iron(2+)
      1 2.A.109.1.1	tellurium atom
      1 2.A.118.1.3	dicarboxylic acid dianion
      1 2.A.119.1.6	cadmium(2+)|copper(2+)|zinc(2+)
      1 2.A.1.2.10	hydron|diterpene|quinolone
      1 2.A.12.1.5	GDP|GTP
      1 2.A.1.2.24	chloramphenicol|fluoroquinolone antibiotic
     27 2.A.123.2.13	UDP-sugar
      1 2.A.123.2.6	glucose
      6 2.A.123.2.8	UDP-sugar
      3 2.A.1.2.41	tetracycline|tetracycline
      1 2.A.1.25.5	beta-lactam antibiotic
      1 2.A.1.25.6	peptide
      1 2.A.1.26.3	ethidium bromide|sodium dodecyl sulfate|silver(1+) nitrate
      1 2.A.127.1.1	cardiolipin
     79 2.A.130.1.1	protein
      8 2.A.130.1.2	protein
      1 2.A.1.3.16	hydron|tetracycline
      1 2.A.1.3.33	actinomycin D|novobiocin|streptomycin
      2 2.A.1.3.46	chloramphenicol|florfenicol
      3 2.A.1.3.72	riboflavin|riboflavin
      2 2.A.1.3.81	rhodamine 6G|3,6-diamino-10-methylacridinium chloride|ethidium bromide|ampicillin|tetracycline|kanamycin
      2 2.A.1.42.2	monoacylglycerol phosphate
      5 2.A.1.53.2	valine
      1 2.A.1.6.11	acetate|glycolate|pyruvate|lactate|(S)-2-halocarboxylic acid
      1 2.A.1.6.12	thiazole
     10 2.A.16.2.2	malate(2-)
      1 2.A.16.4.5	anion
      1 2.A.17.1.5	peptide
      1 2.A.17.1.7	peptide
      1 2.A.17.1.8	peptide
      1 2.A.1.7.3	proton|xylose|glucose|mannose
     12 2.A.19.5.1	calcium(2+)
     21 2.A.19.5.2	calcium(2+)|sodium(1+)|hydron
      2 2.A.19.5.3	calcium(2+)|sodium(1+)
      2 2.A.19.5.4	calcium(2+)|sodium(1+)
      5 2.A.20.1.3	phosphate(3-)
     21 2.A.20.1.4	phosphate(3-)
      2 2.A.20.1.5	phosphate(3-)
      5 2.A.20.1.6	phosphate(3-)
      4 2.A.20.2.4	phosphate(3-)
      1 2.A.20.2.7	sodium(1+)|phosphate(3-)
      3 2.A.20.2.9	phosphate(3-)
      1 2.A.20.3.1	sodium(1+)|phosphate(3-)
      3 2.A.21.3.2	sodium(1+)|glucose|galactose
      1 2.A.21.5.3	sodium(1+)|acetate|pyruvate|propionate|lactate|butyrate
      1 2.A.21.5.5	sodium(1+)|pyruvate|lactate|butyrate|nicotinate
      1 2.A.21.7.5	acetate|tellurite
     14 2.A.21.9.2	proline
      1 2.A.22.2.6	sodium(1+)|glycine
      1 2.A.22.4.1	sodium(1+)|tryptophan
      2 2.A.22.5.1	sodium(1+)
      3 2.A.22.5.3	sodium(1+)|neurotransmitter
      2 2.A.23.1.1	glutamate(2-)|aspartate(2-)
      1 2.A.23.1.2	sodium(1+)|hydron|glutamate(2-)|aspartate(2-)
      1 2.A.2.3.12	UDP-sugar
      1 2.A.23.1.5	anion|glutamate(2-)|aspartate(2-)
      1 2.A.23.2.3	lithium(1+)|sodium(1+)|potassium(1+)|glutamate(2-)|aspartate(2-)|cysteine
      1 2.A.2.4.1	sucrose
      1 2.A.25.1.1	sodium(1+)|glycine|alanine
      1 2.A.25.1.3	sodium(1+)|alanine
      2 2.A.28.2.4	sodium(1+)|bile acid
      1 2.A.29.23.4	adenosine 5'-monophosphate|ADP|ATP
      1 2.A.30.1.3	potassium(1+)
      1 2.A.33.1.2	sodium(1+)|potassium(1+)|hydron
      1 2.A.3.3.13	alpha-amino acid
     13 2.A.3.3.16	alpha-amino acid
      1 2.A.3.3.22	alpha-amino acid
      1 2.A.3.3.2	lysine|ornithine|arginine
      1 2.A.34.1.3	lithium(1+)|sodium(1+)|hydron
      1 2.A.35.2.2	lysine
     15 2.A.3.6.1	alpha-amino acid
      3 2.A.36.6.3	potassium(1+)
     10 2.A.36.6.4	potassium(1+)|hydron|ammonium
     12 2.A.36.6.5	sodium(1+)|potassium(1+)|hydron
      3 2.A.36.6.8	sodium(1+)|hydron
      1 2.A.36.6.9	sodium(1+)|hydron
      1 2.A.36.7.1	calcium(2+)|sodium(1+)|hydron
      2 2.A.37.1.1	potassium(1+)
      1 2.A.37.1.2	potassium(1+)
      1 2.A.37.1.3	potassium(1+)
      1 2.A.37.1.4	potassium(1+)|hydron
      4 2.A.37.1.8	potassium(1+)
      2 2.A.37.1.9	potassium(1+)
      1 2.A.37.2.1	sodium(1+)|hydron
     17 2.A.37.2.2	sodium(1+)|potassium(1+)|hydron
      6 2.A.37.2.4	lithium(1+)|sodium(1+)|hydron
     12 2.A.37.2.7	sodium(1+)|hydron
      2 2.A.37.3.3	sodium(1+)|hydron
      2 2.A.37.4.8	potassium(1+)|hydron
     10 2.A.37.5.1	potassium(1+)|ammonium
      9 2.A.38.1.1	potassium(1+)
     11 2.A.38.1.2	potassium(1+)
      1 2.A.38.1.5	lithium(1+)|sodium(1+)|potassium(1+)|rubidium(1+)
      1 2.A.3.8.28	L-threonine|serine
      1 2.A.3.8.3	lysine|alanine|arginine|glutamine|histidine|leucine|phenylalanine|tryptophan
      2 2.A.38.4.2	sodium(1+)|potassium(1+)
      2 2.A.38.4.3	potassium(1+)
      1 2.A.38.4.4	potassium(1+)
     12 2.A.38.4.5	potassium(1+)
      2 2.A.38.4.6	potassium(1+)
      2 2.A.3.8.5	glutamate(2-)|cystine
      5 2.A.4.1.1	cadmium(2+)|cobalt(2+)|copper(2+)|nickel(2+)|zinc(2+)
      1 2.A.4.2.8	cadmium(2+)|cobalt(2+)|zinc(2+)
      1 2.A.4.4.7	lead(2+)
      1 2.A.45.1.2	arsenate(3-)|arsenite(3-)
      6 2.A.45.2.1	anion|tyrosine
      1 2.A.47.1.12	dicarboxylic acid dianion|malate(2-)|succinate(2-)|fumarate(2-)
      7 2.A.47.1.13	sodium(1+)|dicarboxylic acid dianion|oxaloacetate(2-)|2-oxoglutarate(2-)|malate(2-)|succinate(2-)|fumarate(2-)
      1 2.A.47.1.15	sodium(1+)|dicarboxylic acid dianion
      3 2.A.47.1.1	anion
      1 2.A.47.1.5	sodium(1+)|dicarboxylic acid dianion|tricarboxylic acid trianion
      1 2.A.4.7.2	metal cation
      1 2.A.47.4.6	sulfate|vanadium oxoanion|molybdate|tungstate
     10 2.A.4.7.4	iron(2+)
      1 2.A.47.5.2	lithium(1+)|sodium(1+)|citrate salt|glutamate(2-)|malate(2-)|succinate(2-)|fumarate(2-)
      2 2.A.4.7.6	manganese(2+)
      1 2.A.4.7.8	cadmium(2+)|zinc(2+)
     26 2.A.49.6.1	chloride
      1 2.A.49.6.2	chloride
      3 2.A.49.6.4	chloride|hydron
      1 2.A.5.1.5	zinc(2+)
      1 2.A.5.2.1	manganese(2+)
      1 2.A.53.1.4	hydron|sulfate
      1 2.A.53.3.13	fumarate(2-)
      3 2.A.53.3.4	sulfate|cyanide
      1 2.A.53.3.8	hydrogencarbonate|sulfate
      1 2.A.5.4.11	cadmium(2+)|zinc(2+)
      1 2.A.5.4.17	zinc(2+)
      1 2.A.55.2.9	iron(2+)
      1 2.A.5.5.5	zinc(2+)
      6 2.A.5.5.6	cadmium(2+)|magnesium(2+)|cobalt(2+)|copper(2+)|iron(2+)|nickel(2+)|zinc(2+)
      1 2.A.56.1.12	2-oxoglutaric acid
      1 2.A.56.1.2	2,3-diketogulonate
      2 2.A.56.1.3	sodium(1+)|N-glycoloyl-beta-neuraminic acid|N-acetyl-beta-neuraminic acid
      2 2.A.56.1.6	sodium(1+)|N-acetyl-beta-neuraminic acid
      2 2.A.56.3.4	3-methyl-2-oxobutanoate|pyruvate|2-oxobutanoate|3-methyl-2-oxovalerate|4-methyl-2-oxopentanoic acid
      2 2.A.58.1.8	sodium(1+)|phosphate(3-)
      1 2.A.59.1.2	arsenite(3-)|antimonite
      2 2.A.59.1.4	arsenite(3-)
      2 2.A.59.1.5	arsenite(3-)
      4 2.A.59.1.6	arsenite(3-)
      1 2.A.6.1.10	copper(2+)
      1 2.A.6.1.15	cadmium(2+)|cobalt(2+)|zinc(2+)
      1 2.A.6.1.1	cobalt(2+)|nickel(2+)
      1 2.A.6.1.2	cadmium(2+)|cobalt(2+)|zinc(2+)
      1 2.A.6.1.5	cadmium(2+)|lead(2+)|zinc(2+)
      1 2.A.6.1.7	zinc(2+)
      2 2.A.6.1.8	copper(2+)
      1 2.A.6.2.10	styrene|toluene
      1 2.A.6.2.14	chloramphenicol|tetracycline|amino cyclitol glycoside|diterpene
      1 2.A.6.2.16	chloramphenicol|acrolein|fluoroquinolone antibiotic
      1 2.A.6.2.30	ethidium|drug
      1 2.A.6.2.31	fluoroquinolone antibiotic
      1 2.A.6.2.32	fluoroquinolone antibiotic
      1 2.A.6.2.37	detergent
      1 2.A.6.2.38	detergent
      1 2.A.6.2.47	drug
      1 2.A.6.2.9	acetate|styrene|m-xylene|toluene|propylbenzene|alpha-pinene
      2 2.A.6.3.12	drug
      4 2.A.6.3.13	thiophosphate(2-)
      4 2.A.6.3.14	ethidium bromide|sodium dodecyl sulfate|ciprofloxacin|ampicillin|cefoperazone|cefoxitin|imipenem|metronidazole
     30 2.A.64.1.3	protein polypeptide chain
      3 2.A.6.4.1	hydron|protein polypeptide chain
      1 2.A.64.2.1	protein polypeptide chain
      1 2.A.6.4.2	protein polypeptide chain
      4 2.A.64.3.2	protein polypeptide chain
      1 2.A.6.4.3	proton|protein polypeptide chain
     11 2.A.64.4.1	protein polypeptide chain
     13 2.A.64.5.1	protein polypeptide chain
      1 2.A.66.1.12	benzalkonium chloride|3,6-diamino-10-methylacridinium chloride|ethidium bromide|hydron|fluoroquinolone antibiotic
      1 2.A.66.1.16	hydron|organic cation
     15 2.A.6.6.11	electron
      1 2.A.66.1.28	drug
      1 2.A.66.1.32	hydron|drug
      1 2.A.66.1.35	citrate salt
      2 2.A.66.1.45	drug
      1 2.A.66.1.54	citrate salt|salicylate
      1 2.A.66.1.55	norfloxacin|xenobiotic
      1 2.A.66.1.57	anthocyanin cation|flavonoid
      1 2.A.66.2.5	[3)-beta-D-galactopyranuronosyl-(1->3)-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucopyranosyl-(1->4)-beta-D-galactopyranurosyl-(1->]n
      3 2.A.66.4.5	keto-D-fructose 6-phosphate
      1 2.A.66.4.7	lipid-linked peptidoglycan
      1 2.A.67.4.2	oligopeptide
      1 2.A.6.7.6	lipid
      7 2.A.6.7.7	lipid
      1 2.A.68.1.2	drug
      1 2.A.69.3.2	malate(2-)
      1 2.A.7.17.1	phenylalanine|tryptophan|tyrosine
      3 2.A.7.2.4	electron
      1 2.A.7.3.2	cysteine|asparagine|glutamine
      1 2.A.7.3.39	thiamine(1+) diphosphate
     59 2.A.7.3.49	peptide
      1 2.A.7.3.58	glutamate(2-)|aspartate(2-)|glutamine
      1 2.A.7.3.7	S-adenosyl-L-homocysteine|S-adenosyl-L-methionine
      1 2.A.7.3.80	cobalt(2+)|nickel(2+)
      1 2.A.76.1.1	homoserine|homoserine lactone
      1 2.A.76.1.4	azaserine|cysteine
      1 2.A.80.1.1	tricarboxylic acid trianion
      1 2.A.80.2.1	tricarboxylic acid trianion
      1 2.A.83.1.1	sodium(1+)|hydrogencarbonate
      1 2.A.86.1.4	autoinducer-2
      4 2.A.89.1.5	iron(2+)
      4 2.A.89.3.1	iron(2+)
      1 2.A.9.2.1	protein polypeptide chain|protein
      2 2.A.9.3.1	protein polypeptide chain
      1 2.A.9.3.7	protein polypeptide chain
      1 2.C.1.2.1	phospholipid
      4 3.A.10.1.13	sodium(1+)|hydron
      2 3.A.10.1.14	sodium(1+)
      2 3.A.10.1.15	hydron
      1 3.A.10.1.3	sodium(1+)
     24 3.A.10.1.5	sodium(1+)
      1 3.A.10.1.6	sodium(1+)
      2 3.A.10.1.7	hydron
      8 3.A.10.2.4	sodium(1+)
      2 3.A.10.3.1	hydron
      2 3.A.1.103.1	lipopolysaccharide
      1 3.A.1.103.4	lipopolysaccharide
      3 3.A.1.103.5	ethanol|carbohydrate
      1 3.A.1.104.1	teichoic acid
      1 3.A.1.104.2	teichoic acid
      1 3.A.1.105.12	phosphonate(2-)
      1 3.A.1.105.15	drug
      2 3.A.1.105.2	oleandomycin
      1 3.A.1.105.8	triterpene|hop-22(29)-ene
      4 3.A.1.106.14	lipid As
      1 3.A.1.106.15	lipid
      5 3.A.1.106.18	2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole
      1 3.A.1.106.20	phospholipid|lipid As|lipopolysaccharide|drug
      2 3.A.1.106.2	tetraphenylphosphonium|verapamil|2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole|vincaleukoblastine|doxorubicin|ethidium
      1 3.A.1.106.9	actinorhodin
      1 3.A.1.1.11	oligogalacturonide
      6 3.A.11.1.1	single-stranded DNA polynucleotide
      1 3.A.1.112.10	bacteriocin
     11 3.A.11.1.3	single-stranded DNA polynucleotide
     12 3.A.11.1.4	single-stranded DNA polynucleotide
      1 3.A.1.11.6	gamma-aminobutyric acid
      2 3.A.1.1.16	maltooligosaccharide
      4 3.A.1.11.8	spermidine|spermine
      1 3.A.1.120.1	macrolide
      2 3.A.1.120.5	acetate
      4 3.A.1.121.2	pristinamycin
      1 3.A.1.121.3	lincomycin
      1 3.A.11.2.1	deoxyribonucleic acid
      1 3.A.1.122.12	Arthrofactin
      1 3.A.1.122.18	peptide|macrolide antibiotic|virulence factor
      5 3.A.1.122.20	antimicrobial agent
      2 3.A.1.122.35	antimicrobial agent
      1 3.A.1.122.4	ferroheme b
      1 3.A.1.1.22	alpha,alpha-trehalose|maltose|alpha-maltotriose|maltotetraose
      1 3.A.11.2.2	single-stranded DNA polynucleotide
      1 3.A.1.123.2	bacteriocin
      4 3.A.1.12.3	choline
      1 3.A.1.12.4	(E)-4-(trimethylammonio)but-2-enoate|4-(trimethylammonio)butanoate|L-proline betaine|choline|carnitinium|glycine betaine|ectoine|S,S-dimethyl-beta-propiothetin|(carboxymethyl)(dimethyl)sulfonium
      7 3.A.1.125.1	lipoprotein
      3 3.A.1.1.25	alpha,alpha-trehalose|maltose|sucrose|6-O-alpha-D-glucopyranosyl-D-fructofuranose
      1 3.A.1.12.8	glycine betaine|proline
      1 3.A.1.1.2	galactooligosaccharide
      4 3.A.1.131.1	bacitracin
      4 3.A.11.3.1	single-stranded DNA polynucleotide
     11 3.A.1.132.1	exopolysaccharide|macromolecule
      2 3.A.1.132.2	copper(2+)
      1 3.A.1.134.12	bacitracin|beta-lactam antibiotic|alphaprodine
      1 3.A.1.135.13	antimicrobial agent
      6 3.A.1.135.5	daunorubicin
      3 3.A.1.135.6	2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole|tetracycline|erythromycin A
      1 3.A.1.135.7	3,6-diamino-10-methylacridinium chloride|ciprofloxacin|norfloxacin|doxorubicin|daunorubicin|doxycycline
      3 3.A.1.1.35	glycerol
      1 3.A.1.1.3	glycerol 1-phosphate
      1 3.A.1.141.1	paraquat dichloride|Benzyl viologen
      1 3.A.1.14.15	corynebactin
      4 3.A.1.1.41	alpha,alpha-trehalose
      4 3.A.1.14.25	ferroheme b
      2 3.A.1.14.26	cyanocob(III)alamin
      1 3.A.1.14.5	ferroheme b
      1 3.A.1.1.46	glucoside
      1 3.A.1.14.9	corrinoid
      1 3.A.1.1.4	alpha-lactose
      2 3.A.1.1.50	choline alfoscerate
      1 3.A.1.15.10	manganese(2+)|zinc(2+)
     49 3.A.1.15.11	zinc(2+)
      1 3.A.1.15.12	iron(2+)
     17 3.A.1.15.13	zinc(2+)
      3 3.A.1.15.14	manganese(2+)
      1 3.A.1.15.20	iron(2+)|manganese(2+)
      1 3.A.1.152.1	lipopolysaccharide
      1 3.A.1.1.52	esculin|maltose|sucrose|beta-glucoside|glucose|fructose
      5 3.A.1.15.2	manganese(2+)|zinc(2+)
      7 3.A.1.15.3	zinc(2+)
      1 3.A.1.15.4	iron(2+)|manganese(2+)
      1 3.A.1.15.6	copper(2+)|iron(2+)|zinc(2+)
     27 3.A.1.16.2	nitrite|cyanate
      1 3.A.1.16.3	hydrogencarbonate
      1 3.A.1.1.6	cyclodextrin
      1 3.A.1.17.10	sulfonate
      2 3.A.1.17.12	sulfonate|sulfonate ester
      5 3.A.1.17.1	taurine
     31 3.A.1.17.2	sulfonate
      2 3.A.1.17.3	pyrimidine
      3 3.A.1.17.4	taurine
      4 3.A.1.17.5	phthalate(2-)
      2 3.A.1.17.6	pyrimidine
      3 3.A.1.1.7	alpha,alpha-trehalose|maltose
      1 3.A.1.201.23	3',5'-cyclic AMP
      1 3.A.1.201.28	alkaloid
      1 3.A.1.201.3	bile salt|1,2-diacyl-sn-glycero-3-phosphocholine(1+)|vincaleukoblastine|paclitaxel|short-chain fatty acid|digoxin
      1 3.A.1.20.1	iron(3+)
      1 3.A.1.204.9	biological pigment|drug
      1 3.A.1.209.2	peptide|paclitaxel|docetaxel anhydrous|taxane|anthracycline
      1 3.A.1.211.2	phosphatidylethanolamine|all-trans-retinal|retinoid
      5 3.A.12.1.1	deoxyribonucleic acid
      1 3.A.1.2.11	erythritol
      1 3.A.1.2.12	deoxyribonucleoside
      2 3.A.1.2.13	autoinducer-2
      1 3.A.12.1.5	deoxyribonucleic acid
      1 3.A.1.2.16	erythritol
      4 3.A.1.2.17	nucleoside
      2 3.A.1.2.18	xylose
      3 3.A.1.2.19	beta-D-ribopyranose
      1 3.A.1.2.1	beta-D-ribopyranose
      1 3.A.1.2.20	xylose|glucose
      2 3.A.1.2.21	myo-inositol
      1 3.A.1.2.29	keto-D-fructose
      1 3.A.1.2.2	arabinose
      5 3.A.1.23.2	cobalt(2+)
      2 3.A.1.23.3	cobalt(2+)
      1 3.A.1.2.3	glucose|galactose
     12 3.A.1.24.2	L-methionine (R)-S-oxide residue|methionine
      1 3.A.1.24.4	L-methionine
      9 3.A.1.24.6	peptide
      3 3.A.1.25.5	biotin|riboflavin
      1 3.A.1.25.6	riboflavin
      1 3.A.1.25.8	roseoflavin(1-)|FMN|FAD|riboflavin
      1 3.A.1.2.5	fucose|xylose|arabinose|glucose|galactose
      1 3.A.1.26.10	folic acid
      2 3.A.1.2.6	allose
      1 3.A.1.27.1	gamma-hexachlorocyclohexane
      4 3.A.1.27.3	phospholipid
      1 3.A.1.27.5	steroid
      1 3.A.1.2.9	alpha-L-rhamnopyranose
      1 3.A.1.3.10	7,8-diaminononanoic acid|cystine
      1 3.A.1.3.13	L-djenkolic acid|S-methylcysteine|cystathionine
      2 3.A.1.3.14	cystine
      1 3.A.1.3.17	lysine|arginine|histidine
      1 3.A.1.3.1	lysine|ornithine|arginine|histidine
      7 3.A.1.32.1	cobalamin
      9 3.A.1.32.3	cobalamin
      1 3.A.1.3.23	lysine|alanine|arginine|histidine|valine
      2 3.A.1.3.25	glutamate(2-)|asparagine|glutamine
      1 3.A.1.3.27	lysine|arginine|histidine
      5 3.A.1.33.1	5'-S-methyl-5'-thioadenosine
      1 3.A.1.3.7	glutamate(2-)|aspartate(2-)|asparagine|glutamine
      1 3.A.1.3.8	alpha-amino acid
      1 3.A.1.4.10	L-threonine|L-isoleucine|alanine|serine|leucine|valine
      3 3.A.1.4.14	methionine|leucine|valine|isoleucine|branched-chain amino acid
      7 3.A.1.4.2	glycine|alanine|proline|serine|histidine|leucine
      1 3.A.1.4.3	gamma-aminobutyric acid|alpha-amino acid
      3 3.A.1.4.4	urea
      1 3.A.1.4.5	urea|hydroxyurea|thiourea
     21 3.A.1.4.6	alpha-amino acid zwitterion
     11 3.A.1.4.8	L-threonine|L-isoleucine|alanine|serine|leucine|valine
     10 3.A.15.1.1	protein
      2 3.A.1.5.12	rhamnose
      1 3.A.1.5.13	xylan
      4 3.A.1.5.14	cellobiose
      3 3.A.1.5.15	mannoside|mannose
      1 3.A.1.5.17	L-proline betaine
      2 3.A.1.5.18	oligopeptide
      1 3.A.1.5.19	oligopeptide
     12 3.A.1.5.20	oligopeptide
      3 3.A.1.5.21	microcin c
      1 3.A.1.5.22	peptide
      2 3.A.1.5.24	peptide
      2 3.A.1.5.27	glutathione
      7 3.A.1.5.2	dipeptide|5-aminolevulinic acid|ferroheme b
      1 3.A.1.5.35	peptide
      1 3.A.1.5.38	L-alanyl-L-alanine
      4 3.A.1.5.39	tripeptide|dipeptide
      1 3.A.1.5.40	nickel(2+)
     16 3.A.15.4.1	protein polypeptide chain
      8 3.A.1.5.45	peptide
    164 3.A.1.5.47	peptide
      2 3.A.1.5.6	beta-glucoside
     58 3.A.16.1.1	protein
     12 3.A.16.1.2	protein
     13 3.A.16.1.3	protein
      1 3.A.16.1.4	protein polypeptide chain
     44 3.A.16.1.5	protein
      1 3.A.1.6.2	tungstate
      1 3.A.1.6.5	molybdate|tungstate
      1 3.A.1.6.7	sulfate
      2 3.A.1.6.9	selenite(2-)|molybdate|tungstate
      1 3.A.17.1.1	deoxyribonucleic acid
     53 3.A.18.1.1	messenger RNA
      1 3.A.1.8.2	molybdate
      3 3.A.1.8.4	sodium tungstate|molybdate
      1 3.A.19.1.3	protein polypeptide chain
      1 3.A.19.1.4	protein
     42 3.A.1.9.1	iron(3+)
     13 3.A.1.9.2	phosphonate(2-)|phosphate(3-)|phosphite(3-)
      2 3.A.1.9.3	phosphite(3-)
     10 3.A.1.9.4	phosphinate|phosphonate(2-)|phosphite(3-)
      2 3.A.20.1.1	protein polypeptide chain
      1 3.A.20.1.5	protein polypeptide chain
      1 3.A.2.1.12	sodium(1+)
      1 3.A.2.1.1	hydron
      1 3.A.2.1.2	sodium(1+)
      2 3.A.2.1.5	sodium(1+)
      2 3.A.2.1.6	sodium(1+)|hydron
      1 3.A.22.1.1	(ribonucleotide)n+m
      5 3.A.2.2.1	hydron
      3 3.A.2.2.2	sodium(1+)
      1 3.A.2.2.5	hydron
      2 3.A.2.2.6	hydron
     12 3.A.2.2.8	hydron
