Genomes	C-ARSC	N-ARSC	GC(%)	genome size(Mb)	coding density	genes number	Pseudogenes	Pseudogenes(%)	arCOG	Group
Nitrosotalea_devanaterra_Nd1	2.988529793	0.319977964	0.370673859	1.805304	0.905846328	2074	103	0.047312816	1320	Terrestrial group
Nitrosotalea_koreensis_CS	2.990859996	0.325307487	0.374688884	1.972585	0.876467174	2330	182	0.072452229	1369	Terrestrial group
Nitrosotalea_sinensis_Nd2	2.980848614	0.323692542	0.373669627	1.598048	0.910998919	1879	103	0.051967709	1276	Terrestrial group
Nitrosotenuis_aquarius_strain_AQ6F	2.989849468	0.324557572	0.421841885	1.697207	0.924197814	2009	91	0.043333333	1361	Terrestrial group
Nitrosotenuis_chungbukensis_MY2	2.990861496	0.3245351	0.41760396	1.762971	0.904599111	2047	96	0.044797014	1381	Terrestrial group
Nitrosotenuis_cloacae_strain_SAT1	2.976321284	0.320153084	0.409969163	1.620156	0.920984152	1877	81	0.041368744	1328	Terrestrial group
Thaumarchaeota_archaeon_N4	2.995272927	0.333464752	0.422460387	1.636125	0.913642906	1921	102	0.050420168	1348	Terrestrial group
Thaumarchaeota_archaeon_SAT137	3.02450169	0.33528234	0.361256964	1.459682	0.873936241	1592	114	0.066822978	924	Terrestrial group
EGM_Bin1	3.063554351	0.315188572	0.33949831	3.671547	0.909124955	4788	741	0.134020619	1559	Methane group
EGM_Bin2	3.057982971	0.312753936	0.341265249	3.573748	0.903223171	5563	1147	0.170938897	1602	Methane group
F	3.065324777	0.336681217	0.356256065	3.428329	0.828617382	5341	903	0.144618834	1385	Methane group
HM45_Bin1	3.023600999	0.320187248	0.339504323	3.05602	0.904121701	4392	687	0.135262847	1294	Methane group
HM45_Bin2	3.076440652	0.333250952	0.340574185	3.525552	0.857638747	6860	1432	0.172696575	1620	Methane group
HM58_Bin	3.059814706	0.326683405	0.334602671	3.660703	0.896211465	5514	975	0.150254276	1536	Methane group
HM79_Bin	3.086492643	0.334210236	0.341659089	2.663462	0.844097644	3981	707	0.15081058	1439	Methane group
HM81_Bin1	3.107398174	0.33475321	0.351479651	3.479604	0.839185149	5777	1110	0.161173225	1564	Methane group
HM81_Bin2	3.002480656	0.313812398	0.336731132	2.260385	0.918363465	3723	896	0.193981381	1273	Methane group
HM82_Bin1	3.032612814	0.321681968	0.333949952	3.057536	0.906628736	4255	591	0.121956253	1281	Methane group
HM82_Bin2	3.030100753	0.324053208	0.334019629	2.386725	0.910794499	3319	457	0.121027542	1205	Methane group
SB_01	3.037970293	0.318887747	0.34214515	2.886427	0.872418738	4902	1083	0.180952381	1366	Methane group
SB_02	3.032240392	0.321632182	0.329429	2.417058	0.890164406	3470	491	0.123958596	1222	Methane group
SMM_01	3.115399258	0.345934686	0.358129238	3.385102	0.855779826	5554	1005	0.153224577	1538	Methane group
XS83_01	3.04148596	0.322127712	0.336145025	2.720308	0.903237795	3865	542	0.122986158	1336	Methane group
XS83_02	3.036562531	0.321721309	0.336058341	2.672286	0.904638201	3810	552	0.126547455	1316	Methane group
XS87_01	3.055882181	0.329836898	0.340494049	3.264897	0.878806897	5437	1094	0.167508804	1445	Methane group
XS87_02	3.035948597	0.324823045	0.338647053	1.660168	0.898509669	2357	326	0.121505777	1094	Methane group
AAA799-B03	3.022720467	0.322551453	0.337167359	1.003945	0.892881582	1345	120	0.081911263	906	Shallow water Part II
AAA799-D11	3.008865545	0.316503124	0.34288211	1.360636	0.905585329	1737	116	0.062601187	1202	Shallow water Part II
AAA799-E16	3.014699476	0.321033532	0.341519908	1.415322	0.897389428	1909	164	0.079112397	1239	Shallow water Part II
AAA799-N04	3.016324135	0.32397669	0.342138181	1.296717	0.8784222	1764	157	0.081728267	1165	Shallow water Part II
AAA799-P11	3.021476842	0.321775303	0.337204488	1.081049	0.889551722	1432	163	0.102194357	952	Shallow water Part II
Nitrosarchaeum_koreense_MY1	3.023506314	0.317878769	0.326731127	1.607695	0.900839401	1925	125	0.06097561	1406	Shallow water Part II
Nitrosarchaeum_limnium_BG20	3.029231397	0.319250659	0.324894897	1.855559	0.891826668	2586	417	0.138861139	1443	Shallow water Part II
Nitrosarchaeum_limnium_SFB1	3.02962741	0.319138147	0.324616016	1.743235	0.893527264	2208	175	0.073436844	1439	Shallow water Part II
Nitrosoarchaeum-Baikal-G1-C1	3.033916003	0.320490593	0.310225151	1.193764	0.897893553	1460	154	0.095415118	1200	Shallow water Part II
Nitrosoarchaeum_sp_BD3	3.013995584	0.319458361	0.329950346	1.462514	0.881582672	1869	224	0.107023411	1211	Shallow water Part II
Nitrosomarinus_catalina_strain_SPOT01	3.018465018	0.316516465	0.314372873	1.360076	0.918775127	1677	147	0.080592105	1274	Shallow water Part II
Nitrosopumilus_adriaticus_strain_NF5	3.014306615	0.313221749	0.334068738	1.80309	0.901903399	2210	143	0.060773481	1447	Shallow water Part II
Nitrosopumilus_koreensis_AR1	3.009184706	0.31548857	0.341831894	1.639964	0.901512472	2031	183	0.082655827	1415	Shallow water Part II
Nitrosopumilus_maritimus_SCM1	3.000383865	0.310898996	0.34167508	1.645259	0.919567071	1947	183	0.085915493	1405	Shallow water Part II
Nitrosopumilus_salaria_BD31	3.023485276	0.320543887	0.337940167	1.572957	0.895953291	2093	208	0.09039548	1322	Shallow water Part II
Nitrosopumilus_sediminis_AR2	3.014485344	0.313737675	0.335886995	1.690905	0.899724112	2112	121	0.054187192	1427	Shallow water Part II
Nitrosopumilus_sp_D3C	3.021320789	0.315925792	0.338204098	1.713078	0.899133606	2142	110	0.048845471	1436	Shallow water Part II
Nitrosopumilus_sp_DDS1	3.024549355	0.313490424	0.331094912	1.737236	0.896391164	3027	489	0.139078498	1459	Shallow water Part II
Nitrosopumilus_sp_Nsub	3.008805748	0.314845826	0.313978322	1.383621	0.884600624	1736	83	0.045629467	1253	Shallow water Part II
Nitrosopelagicus_brevis_strain_CN25	2.928831399	0.317844963	0.331577563	1.232128	0.938501519	1470	50	0.032894737	1163	Shallow water Part I
Nitrosopelagicus_brevis_U25	2.970855834	0.317871676	0.331784345	1.245544	0.938670171	1490	53	0.034348671	1171	Shallow water Part I
Nitrosopelagicus_sp_REDSEA-S31_B2	2.941601862	0.319059459	0.340515075	1.009131	0.933065182	1347	92	0.063933287	1045	Shallow water Part I
Candidatus_Nitrosopelagicus_sp_Isolate_GoM	2.955976738	0.321886766	0.340515075	1.009131	0.933065182	1247	99	0.073551263	943	Shallow water Part I
AAA001-A19	3.008110188	0.325592943	0.35708555	0.757824	0.881050217	1107	260	0.190197513	674	Deep water group
AAA007-N19	3.004098188	0.324769023	0.356336603	0.888323	0.879895038	1286	285	0.181413113	863	Deep water group
AAA007-O23	3.006083198	0.325982192	0.352022552	0.391966	0.869452963	1006	85	0.077910174	1038	Deep water group
AAA288-D22	3.005944754	0.325575517	0.352022552	0.391966	0.869452963	706	311	0.305801377	418	Deep water group
AAA288-J14	2.989741968	0.325312821	0.358103878	0.682087	0.843135846	1069	286	0.211070111	637	Deep water group
AAA799-D07	3.019203176	0.322744203	0.339300052	0.435918	0.922737763	562	55	0.089141005	463	Deep water group
AAA799-O18	3.012089104	0.332193203	0.346839179	0.522767	0.71250098	693	90	0.114942529	556	Deep water group
