NDEV_0865	K01491
NADRNF5_2184	K01992
T478_0102	K01990
Nmar_0088	K03724
NMSP_0091	K04482
SU86_006705	K04796
T478_0095	K00789
NADRNF5_2193	K02188
T478_0092	K02189
T478_0091	K03795
T478_0089	K06042
T478_0090	K02224
NMSP_0081	K19221
NKOR_00130	K03237
T478_0086	K11130
NPIRD3C_0148	K07158
SU86_006630	K03242
T478_0068	K02991
NADRNF5_2156	K19294
T478_0063	K09118
NKOR_00075	K02683
NSED_00020	K18882
T478_0060	K01151
SU86_006580	K01880
NSED_09930	K01776
NDEV_0079	K05936
NADRNF5_0009	K03394
T478_0053	K02191
T478_0051	K09128
NADRNF5_0015	K10773
NSED_09875	K00958
NDEV_0067	K00390
T478_0041	K07124
T478_0039	K07027
NKOR_09790	K00872
T478_0037	K00872
Nmar_0040	K06920
NMSP_0040	K01495
SU86_006415	K10026
T478_1483	K11105
T478_1483	K11105
NPIRD3C_0281	K03124
T478_0017	K05802
T478_0015	K00948
NADRNF5_0091	K00784
SU86_006120	K09736
NADRNF5_0086	K01975
T478_0009	K07558
Nmar_0155	K18049
Nmar_0157	K01009
NMSP_0154	K13039
NMSP_0155	K06034
NMSP_0156	K01841
Nmar_0161	K18602
Nmar_0161	K18602
Sthe_1150	K00604
T478_0130	K13010
T478_0137	K01953
T478_0134	K00012
T478_0134	K00012
T478_0133	K01784
NDEV_0103	K07151
NADRNF5_2201	K07151
CRN91_07365	K00122
AW25_269	K00122
T478_0128	K06937
NPIRD3C_0105	K23356
SU86_006840	K03709
T478_0121	K06965
T478_0122	K03926
SU86_006800	K01512
NKOR_00270	K02886
NPIRD3C_0118	K13525
NSED_00215	K13525
T478_0114	K09482
T478_0114	K09482
T478_0114	K09482
T478_0113	K03330
SU86_006780	K03330
T478_0113	K03330
SU86_006760	K03686
NADRNF5_0338	K01814
SU86_004575	K02500
NPIRD3C_0083	K01496
SU86_004560	K01733
NPIRD3C_0080	K21029
NPIRD3C_0080	K21029
T478_1266	K00412
SU86_004510	K03660
NKOR_08370	K07577
T478_1256	K18779
NDEV_0262	K18532
NDEV_0263	K06942
Nmar_1533	K01409
T478_0224	K08851
Nmar_1530	K02428
NKOR_08320	K15449
T478_0228	K03284
NPIRD3C_0709	K09721
SU86_004420	K05710
SU86_004410	K01885
T478_0244	K13787
T478_0245	K01823
T478_0246	K06981
NADRNF5_1937	K00869
NPIRD3C_0718	K02967
NKOR_01440	K01689
NADRNF5_1934	K03058
T478_0252	K07477
NPIRD3C_0723	K17759
T478_0254	K01069
SU86_004340	K00820
NPIRD3C_0726	K00820
T478_0257	K02986
NADRNF5_0373	K03120
NADRNF5_1962	K00762
NKOR_01305	K03789
NPIRD3C_0684	K15429
NKOR_01320	K06174
T478_1213	K00615
T478_1212	K00615
T478_1211	K00616
T478_1134	K02864
SU86_004130	K02863
NPIRD3C_1986	K03718
NADRNF5_1794	K02867
NDEV_0330	K02601
NKOR_01900	K07342
SU86_004105	K09716
SU86_004100	K00567
NADRNF5_1789	K02885
NMSP_1334	K02912
T478_1123	K01610
T478_1124	K14647
T478_1121	K04564
T478_1120	K04797
NSED_01910	K03110
Nmar_0397	K00611
T478_1117	K02881
Nmar_0399	K02988
T478_1115	K02907
T478_1114	K02876
NSED_01945	K03076
T478_1112	K00939
T478_1110	K00945
T478_1109	K11131
T478_1106	K15736
SU86_003975	K00174
T478_1101	K00175
SU86_003945	K01703
NADRNF5_1752	K01704
NMSP_1301	K02996
Nmar_0426	K02871
SU86_003910	K02883
SU86_003905	K03047
T478_0403	K14574
NPIRD3C_1636	K17830
NKOR_03160	K02035
Nmar_0620	K08979
NKOR_03180	K07143
T478_0982	K03113
NSED_03220	K14941
Nmar_0626	K11212
T478_0976	K03294
SU86_003085	K09140
NMSP_1073	K01265
NKOR_03125	K03120
T478_0997	K06878
SU86_003150	K11780
NSED_03095	K11781
NPIRD3C_1668	K07301
NMSP_1088	K06869
T478_1006	K01933
NPIRD3C_1680	K01933
NMSP_1091	K07739
NKOR_03005	K07739
T478_1010	K04566
NDEV_0664	K04566
NKOR_03000	K04566
SU86_003195	K04566
T478_1364	K14166
NPIRD3C_0326	K00721
NSED_08980	K00609
Nmar_1687	K00610
NDEV_1999	K02123
NDEV_2002	K02120
NMY3_02737	K02118
NDEV_2004	K02117
NFRAN_0341	K02122
NDEV_2006	K02119
NDEV_2007	K02121
NDEV_2008	K02124
NADRNF5_0182	K01011
T478_1378	K03320
NADRNF5_0177	K07464
SU86_005710	K09903
NPIRD3C_0333	K06885
Nmar_1707	K00943
NADRNF5_0165	K13993
NSED_09120	K09810
T478_0785	K01687
NDEV_1128	K01657
T478_0788	K01658
T478_0789	K00766
NADRNF5_1091	K01609
T478_0791	K01696
T478_0792	K01695
T478_0794	K01937
NPIRD3C_1258	K00858
T478_0796	K02976
NADRNF5_1078	K17884
Nmar_0925	K01480
T478_0799	K01868
NPIRD3C_1250	K00809
NPIRD3C_1247	K09143
NADRNF5_1063	K03014
Nmar_0933	K03622
NMSP_0930	K07108
T478_0813	K01953
NSED_05245	K02548
NMSP_0958	K03769
T478_0782	K02503
NPIRD3C_1314	K03265
NPIRD3C_1324	K06863
NSED_02310	K03455
CENSYa_1135	K02866
NPIRD3C_1909	K01170
NSED_00895	K04069
NSED_00885	K06990
NSED_00890	K09141
T478_1086	K00555
NPIRD3C_2054	K03470
NPIRD3C_2053	K04795
T478_1082	K14564
T478_1081	K17828
T478_1080	K02823
NADRNF5_0493	K02983
SU86_008795	K04483
NADRNF5_0495	K04483
NMSP_0333	K03238
T478_0361	K08975
T478_0360	K15888
T478_0358	K01518
NKOR_07815	K01591
T478_0356	K01939
NKOR_07860	K07566
NPIRD3C_2094	K06963
NADRNF5_0449	K02962
T478_0346	K03424
NMSP_0314	K24450
NKOR_07930	K00946
SU86_008500	K02948
T478_0330	K14415
NMSP_0169	K00059
T478_0327	K01756
NMSP_0294	K01953
T478_0328	K01953
NADRNF5_0423	K01724
NMSP_0290	K01873
SU86_006135	K07558
NADRNF5_0084	K07176
NDEV_0012	K09723
T478_1493	K01915
NSED_09585	K01915
T478_1493	K01915
T478_1495	K22447
T478_1497	K00600
NSED_09670	K03768
T478_0001	K10725
NKOR_09545	K17104
Nmar_0010	K13993
T478_1476	K07130
T478_1471	K14165
NMSP_1632	K01515
T478_1431	K06982
T478_1432	K09722
T478_1433	K00606
T478_1434	K13038
EBS_1928	K23886
NMSP_0242	K01738
NPIRD3C_0174	K01262
NADRNF5_0146	K00566
T478_1438	K09152
T478_1437	K07041
SU86_006325	K03433
T478_1440	K00096
T478_0462	K22225
SU86_003565	K24866
NPIRD3C_1769	K02492
T478_0461	K01698
CENSYa_1398	K07466
T478_0515	K07304
NADRNF5_1688	K00927
T478_0449	K04488
T478_0448	K11717
T478_0446	K09015
Nmar_0495	K09014
T478_0444	K01719
NPIRD3C_1789	K02303
T478_0442	K01749
T478_0441	K01845
NKOR_05620	K05714
SU86_001140	K03821
NSED_05710	K22881
Ngar_c12660	K03521
Ngar_c12670	K03522
Ngar_c12680	K00313
NKOR_04890	K02434
T478_0769	K02433
SU86_001760	K09759
SU86_001715	K06863
NKOR_01590	K13798
CENSYa_1567	K13798
SU86_004220	K13798
NPIRD3C_0750	K03053
NKOR_01555	K04487
NADRNF5_1911	K04487
BG04_5281	K04487
SU86_004250	K06864
NDEV_0297	K09121
SU86_004255	K09121
T478_0268	K00024
NMSP_1364	K00024
SU86_004265	K06898
SU86_004270	K22736
SU86_004270	K22736
T478_0258	K02952
T478_1290	K00817
T478_1290	K00817
T478_1289	K00013
NKOR_08475	K00765
NADRNF5_0332	K00765
T478_1287	K00054
NMSP_0197	K06932
NKOR_08500	K06932
NSED_00695	K06932
SU86_004630	K07561
NSED_00675	K07573
Nmar_1567	K04518
SU86_001390	K01493
T478_0639	K02319
T478_0638	K15383
T478_0637	K01803
T478_0636	K01006
NPIRD3C_1211	K05606
T478_0628	K01848
SU86_001285	K07588
T478_0645	K13722
CENSYa_0466	K02889
NKOR_07670	K07572
NMSP_0363	K07572
NKOR_07665	K02528
NPIRD3C_2040	K02493
T478_1071	K02493
CENSYa_0471	K00030
T478_0418	K03651
NKOR_07650	K03651
NKOR_07485	K03163
NMSP_0375	K03163
NSED_07320	K03163
Nmar_1319	K00571
NPIRD3C_0807	K03116
T478_1062	K03183
T478_1061	K03432
NDEV_0644	K07006
CENSYa_0214	K04517
Nmar_0545	K04517
NMSP_1125	K00812
Nmar_0546	K00812
NSED_02765	K00812
T478_0472	K01736
T478_0472	K01736
NSED_02775	K00800
NSED_02775	K00800
T478_0474	K00800
NDEV_0542	K00891
NKOR_02845	K00891
NMSP_1122	K00891
NDEV_0543	K00014
NSED_02795	K03785
NADRNF5_1627	K03785
T478_0479	K11646
NSED_02800	K11646
T478_0480	K16306
T478_0480	K16306
T478_0482	K11784
T478_0481	K03182
SU86_003310	K03182
Nmar_1634	K01821
T478_1346	K11206
NSED_08895	K07479
T478_1345	K00626
T478_1344	K07068
T478_1344	K07068
Nmar_1628	K21636
NKOR_08860	K21636
NDEV_1980	K00525
SU86_005385	K00525
SU86_005385	K00525
NDEV_1980	K00525
NPIRD3C_0425	K00525
T478_1341	K00525
NSED_08855	K03540
NMSP_1563	K02966
T478_0377	K00759
T478_0375	K00772
T478_0946	K06941
NSED_07730	K03166
NADRNF5_0472	K03167
T478_0368	K06961
NSED_02650	K03236
NPIRD3C_2072	K09148
Nmar_1412	K03238
NMSP_1151	K13953
NPIRD3C_1755	K05896
T478_0387	K06024
NKOR_02685	K02995
NDEV_0510	K03105
NPIRD3C_1761	K03124
T478_0382	K09013
T478_0462	K22225
T478_0906	K01647
NADRNF5_0777	K11529
Nmar_1110	K18602
NPIRD3C_0998	K14728
T478_0912	K07005
NKOR_06635	K11175
T478_1249	K18593
NADRNF5_2052	K03469
NDEV_0172	K00928
T478_0218	K00826
NPIRD3C_0658	K01092
T478_1178	K04800
SU86_003895	K03679
NKOR_02145	K03679
T478_0405	K11600
T478_0406	K12589
NPIRD3C_1928	K02921
NADRNF5_1738	K04798
Nmar_0437	K10848
NSED_02275	K07060
T478_0412	K00858
T478_0891	K00008
NPIRD3C_1035	K06953
SU86_000700	K01955
SU86_000695	K01956
NSED_08295	K02956
Nmar_1511	K01875
NADRNF5_0381	K02984
T478_0303	K06223
SU86_008325	K10944
T478_0298	K10945
NDEV_1761	K02201
CRN91_03465	K01784
AAY24_11300	K13012
DEFDS_0397	K17251
T478_1310	K00133
CENSYa_1993	K00133
NSED_00570	K00133
T478_1310	K00133
T478_1308	K02232
Mmc1_0613	K20534
BN1208_0915	K15669
ABAZ39_33175	K01515
Hsero_0302	K04034
NS506_03142	K00161
Clo1100_4064	K21417
LIP_2245	K02377
NDEV_1799	K07581
SU86_008255	K04748
NADRNF5_0378	K04748
NPIRD3C_0921	K07006
T478_1059	K00260
T478_1058	K18594
NMSP_1676	K03057
T478_1465	K04802
T478_1464	K00928
T478_0394	K03106
T478_0394	K03106
NSED_02670	K06927
NDEV_0520	K06927
T478_0391	K03263
T478_0488	K03564
NDEV_0562	K09866
T478_0274	K13798
CENSYa_1567	K13798
NADRNF5_1905	K13798
NDEV_0312	K13798
CENSYa_1567	K13798
SU86_004215	K03041
CENSYa_1566	K03041
Flexsi_0365	K17251
NSED_07250	K18594
T478_1057	K15019
T478_1057	K15019
T478_1056	K13628
NKOR_07340	K02316
NPIRD3C_1735	K00966
T478_0467	K21219
NADRNF5_1639	K21219
NMSP_1128	K03147
T478_0469	K03147
T478_0469	K03147
NVIE_006750	K03147
NDEV_0324	K02869
SU86_004155	K01872
SU86_004155	K01872
SU86_004155	K01872
T478_0626	K01849
NPIRD3C_1205	K00053
Galf_2834	K00067
NDEV_0531	K00965
NSED_02710	K00965
SU86_003395	K00965
NPIRD3C_1738	K00965
SU86_003385	K00621
SU86_003385	K00621
SU86_000645	K07463
SU86_000675	K12196
NKOR_06490	K01956
PNA2_0177	K03718
T478_1427	K09808
NPIRD3C_0162	K09810
T478_1138	K01872
NKOR_01720	K01872
T478_1138	K01872
NPIRD3C_0473	K02227
NPIRD3C_0473	K02227
T478_1306	K02233
NKOR_08595	K19712
TOL2_C27330	K07497
CRN91_03320	K01784
Nmar_0874	K02041
NADRNF5_1177	K02041
NPIRD3C_1321	K02044
NMSP_0860	K02044
Metig_0373	K01791
T478_0439	K20276
SU86_006080	K00952
T478_1464	K00928
T478_1462	K05934
T478_1463	K01866
Nmar_1553	K01814
NADRNF5_0337	K02501
NMSP_0206	K02501
NDEV_1917	K02501
T478_1292	K01693
NDEV_0525	K02977
NADRNF5_1652	K07583
SU86_004750	K02257
NPIRD3C_1323	K02042
Nmar_0874	K02041
HRM2_17310	K01150
T478_1315	K16874
NDEV_1956	K16874
NKOR_08580	K01486
SU86_004700	K01486
NKOR_08580	K01486
A7982_03017	K00616
SU86_005085	K03626
NMSP_1545	K07398
SU86_004675	K01951
NADRNF5_0318	K01951
NDEV_0038	K03124
CENSYa_2008	K00088
T478_1277	K00088
T478_1277	K00088
NKOR_07335	K07732
T478_1054	K14656
NADRNF5_0658	K14656
NPIRD3C_1731	K03147
Nmar_0543	K03147
NSED_02755	K12944
T478_0470	K04517
NDEV_1956	K16874
NDEV_1557	K07159
T478_0283	K07159
AFUA_3G01110	K01951
NADRNF5_0318	K01951
NSED_00640	K01951
T478_1092	K09763
NSED_08735	K08096
NDEV_0523	K07583
NADRNF5_1652	K07583
SU86_005125	K03136
NPIRD3C_0477	K01486
SU86_003400	K15635
T478_0275	K03041
NDEV_0313	K03041
SU86_004160	K01869
CENSYa_1566	K03041
T478_0275	K03041
T478_0275	K03041
NSED_00650	K07142
SU86_004660	K00796
NDEV_1634	K07732
T478_1301	K22447
T478_1324	K07254
NSED_08690	K03665
T478_1093	K15635
SU86_004665	K07142
NSED_01800	K01869
NADRNF5_0269	K00794
SU86_004695	K22447
NDEV_1944	K22447
SU86_004695	K22447
NMSP_0182	K22447
NSED_08690	K03665
SU86_004190	K02950
SU86_004695	K22447
NKOR_08800	K00793
T478_1146	K02600
NADRNF5_0321	K00796
Nmar_1605	K03665
NDEV_1963	K03665
T478_1330	K02858
NKOR_01630	K02992
NADRNF5_0289	K16874
SU86_004160	K01869
SU86_004160	K01869
Nmar_1577	K22447
NDEV_1939	K07142
SU86_004705	K02929
NSED_00625	K00847
SU86_005150	K02858
Nmar_1634	K01821
T478_1346	K11206
T478_1346	K11206
T478_1345	K00626
T478_1345	K00626
T478_1344	K07068
Nmar_1628	K21636
SU86_005390	K21636
NKOR_08860	K21636
SU86_005385	K00525
T478_1341	K00525
Nmar_1627	K00525
NMSP_1568	K14568
NMSP_1568	K14568
NSED_08855	K03540
Nmar_1624	K02966
NADRNF5_0260	K06875
T478_1332	K01644
NSED_08750	K00793
T478_1331	K00793
T478_1330	K02858
NDEV_1969	K00794
NPIRD3C_0439	K08096
SU86_005130	K14654
NADRNF5_0278	K03136
NSED_08695	K07254
Nmar_1605	K03665
Nmar_1603	K07398
Nmar_1602	K03626
T478_1315	K16874
NMSP_1539	K16874
NADRNF5_1176	K02044
Nmar_0874	K02041
Nmar_0873	K02042
NPIRD3C_1127	K22226
T478_1312	K02257
T478_1311	K03718
T478_1310	K00133
T478_1309	K04720
T478_1308	K02232
T478_1308	K02232
NADRNF5_0309	K02227
NPIRD3C_0474	K02233
NMSP_0178	K19712
SU86_004710	K02978
SU86_004705	K02929
NADRNF5_0313	K01486
NKOR_08580	K01486
NDEV_1944	K22447
SU86_004695	K22447
SU86_004690	K00847
SU86_004675	K01951
NSED_00640	K01951
NSED_01240	K01092
NADRNF5_1980	K04800
T478_1178	K04800
T478_1176	K18604
T478_1176	K18604
NSED_01265	K18603
NPIRD3C_0663	K18603
SU86_008035	K18603
SU86_008040	K18605
CENSYa_1663	K24129
T478_1172	K00330
T478_1171	K00331
T478_1169	K00333
NPIRD3C_0670	K00337
SU86_008075	K00338
NPIRD3C_0673	K05576
T478_1164	K00342
T478_1164	K00342
T478_1163	K00341
T478_1163	K00341
T478_1161	K00343
Nmar_0287	K02523
NPIRD3C_0678	K06137
NADRNF5_0373	K03120
NADRNF5_1962	K00762
NKOR_01305	K03789
NKOR_01315	K15429
NKOR_01320	K06174
Nmar_0295	K06174
Nmar_0295	K06174
T478_1150	K06174
T478_1213	K00615
T478_1212	K00615
T478_1211	K00616
T478_1134	K02864
SU86_004130	K02863
NPIRD3C_1986	K03718
NADRNF5_1794	K02867
NDEV_0330	K02601
NKOR_01900	K07342
SU86_004105	K09716
NMSP_1336	K00567
SU86_004095	K02885
NADRNF5_1789	K02885
NADRNF5_1788	K02912
NMSP_1280	K03455
NSED_02310	K03455
T478_0412	K00858
NSED_02275	K07060
Nmar_0437	K10848
NADRNF5_1738	K04798
NDEV_0389	K02921
T478_0406	K12589
NADRNF5_1742	K11600
T478_0405	K11600
NKOR_02145	K03679
NSED_02240	K03679
T478_0403	K14574
T478_0403	K14574
SU86_003905	K03047
SU86_003910	K02883
CENSYa_1490	K02871
NMSP_1301	K02996
NADRNF5_1752	K01704
SU86_003945	K01703
SU86_003945	K01703
T478_1101	K00175
SU86_003975	K00174
T478_1106	K15736
NSED_02120	K15736
T478_1109	K11131
T478_1110	K00945
T478_1112	K00939
NSED_01945	K03076
T478_1114	K02876
T478_1115	K02907
Nmar_0399	K02988
T478_1117	K02881
Nmar_0397	K00611
NADRNF5_1782	K00611
NPIRD3C_1969	K00611
NMSP_0157	K18602
Nmar_0161	K18602
SU86_006355	K00860
Sthe_3442	K10046
NKOR_00410	K02377
CFE_2536	K13010
NSED_10015	K01790
EF513_02820	K12452
NDEV_0139	K01711
T478_0184	K07027
T478_0169	K13010
T478_0169	K13010
NMSP_0156	K01841
NMSP_0156	K01841
NADRNF5_2114	K01784
T478_1220	K04801
NDEV_1861	K09723
NDEV_1860	K10726
NKOR_01055	K10726
T478_1217	K03726
CENSYa_1719	K09791
T478_1203	K18855
T478_1203	K18855
NSED_01155	K00826
T478_1202	K00826
NSED_01155	K00826
NKOR_01115	K00528
T478_1200	K00528
Nmar_0265	K02492
T478_1185	K02492
NMSP_1445	K02492
Nmar_0255	K03622
NDEV_1847	K00239
NSED_01190	K00239
SU86_007965	K00241
NADRNF5_1990	K00242
NSED_01205	K00240
NKOR_00270	K02886
NPIRD3C_0118	K13525
SU86_006790	K13525
Nmar_0100	K09482
T478_0114	K09482
T478_0113	K03330
SU86_006760	K03686
T478_0108	K04043
NMSP_0099	K03687
NMSP_0097	K09726
T478_0103	K01992
T478_0102	K01990
SU86_006725	K01990
NKOR_00185	K03724
Nmar_0088	K03724
NDEV_0119	K03724
SU86_006715	K03724
SU86_006710	K04482
NKOR_00180	K04482
SU86_006705	K04796
T478_0095	K00789
T478_0095	K00789
NSED_00120	K00789
Nmar_0083	K02188
T478_0093	K02188
NADRNF5_2193	K02188
T478_0092	K02189
T478_0091	K03795
T478_0091	K03795
T478_0089	K06042
T478_0089	K06042
T478_0090	K02224
NKOR_00135	K19221
T478_0087	K03237
NKOR_00130	K03237
T478_0086	K11130
SU86_006635	K07158
SU86_006630	K03242
T478_0068	K02991
CENSYa_1928	K09118
NDEV_0935	K02904
NMSP_0757	K02961
SU86_002125	K02961
CENSYa_0867	K02874
NKOR_04400	K02895
CENSYa_0869	K02987
NDEV_0940	K02987
NPIRD3C_1424	K02931
T478_0704	K02954
NADRNF5_1276	K02994
T478_0702	K02933
T478_0694	K09738
NPIRD3C_1439	K01923
Nmar_0781	K00764
NADRNF5_1296	K00764
Nmar_0780	K23269
T478_0687	K23269
T478_0686	K23265
T478_0686	K23265
NDEV_1844	K00240
NADRNF5_1987	K01755
NADRNF5_1987	K01755
NADRNF5_0135	K04719
NADRNF5_2095	K00368
T478_0211	K02274
T478_0210	K02275
SU86_007185	K15634
T478_0207	K06988
T478_0205	K14260
NADRNF5_2103	K14260
SU86_007145	K08963
NSED_00325	K08963
NMSP_0159	K15916
NDEV_0542	K00891
SU86_003345	K00800
NKOR_02840	K00800
T478_0472	K01736
SU86_003350	K01736
NSED_02765	K00812
T478_0470	K04517
NMSP_1127	K03574
T478_0469	K03147
T478_0467	K21219
T478_0467	K21219
NMSP_1132	K00966
NPIRD3C_1735	K00966
T478_0464	K00621
NPIRD3C_1769	K02492
NMSP_1164	K02492
NDEV_0470	K24866
NPIRD3C_1766	K22225
NPIRD3C_0807	K03116
Nmar_1319	K00571
SU86_008890	K03163
NKOR_07485	K03163
NADRNF5_0616	K03163
T478_0418	K03651
CENSYa_0471	K00030
Nmar_1380	K02493
NMSP_0365	K02493
NKOR_07665	K02528
NKOR_07670	K07572
Nmar_1384	K02889
NDEV_2000	K02107
NDEV_1999	K02123
NDEV_1999	K02123
Nmar_1687	K00610
T478_1367	K00610
NSED_08980	K00609
NPIRD3C_0773	K00721
NPIRD3C_0326	K00721
T478_1364	K14166
T478_1364	K14166
T478_1364	K14166
SU86_007800	K15778
NADRNF5_2036	K15778
T478_1232	K02936
NVIE_029300	K02979
NDEV_1871	K02896
NDEV_1870	K00940
T478_1227	K03243
NKOR_00985	K03243
T478_1227	K03243
T478_1227	K03243
SU86_007835	K24956
SU86_007840	K01892
SU86_007840	K01892
NDEV_1865	K03264
SU86_007860	K04801
SU86_006865	K13015
T478_0137	K01953
NMSP_0153	K01009
Nmar_0157	K01009
NMSP_0154	K13039
NMSP_0155	K06034
NMSP_0157	K18602
NPIRD3C_0828	K05831
NSED_07190	K05831
NADRNF5_0659	K20215
T478_1054	K14656
NPIRD3C_0824	K07732
NKOR_07340	K02316
T478_1056	K13628
T478_1057	K15019
NADRNF5_0651	K18594
T478_1058	K18594
NPIRD3C_1738	K00965
NDEV_0531	K00965
NKOR_02775	K15635
SU86_003400	K15635
T478_1092	K09763
NKOR_02760	K02977
NADRNF5_1652	K07583
NPIRD3C_1744	K07583
T478_0394	K03106
T478_0394	K03106
NDEV_0521	K03106
NMSP_1497	K01464
NADRNF5_2047	K03671
NKOR_00865	K13280
T478_1248	K14534
NMSP_1506	K18593
SU86_007640	K18593
NSED_03365	K18911
T478_1123	K01610
SU86_004080	K14647
SU86_004080	K14647
NSED_01895	K14647
NMSP_1332	K14647
NADRNF5_1785	K04564
CENSYa_0336	K04564
NMSP_1330	K04797
NPIRD3C_1971	K03110
SU86_004060	K03110
NKOR_02190	K00858
T478_0412	K00858
NSED_02275	K07060
Nmar_0437	K10848
NADRNF5_1738	K04798
Nmar_0774	K03118
NSED_04300	K03116
T478_0672	K03186
T478_0670	K06863
T478_0670	K06863
NSED_04285	K06863
C0V70_01595	K18431
Nmar_0150	K01711
Caul_2713	K01654
NADRNF5_2211	K18882
SU86_006590	K18882
NKOR_00075	K02683
NKOR_00080	K09118
T478_0063	K09118
NSED_00830	K18593
NADRNF5_2043	K01464
T478_1241	K01807
CENSYa_0036	K02922
NSED_00930	K04796
Nmar_0222	K01470
NADRNF5_2037	K01433
T478_1235	K01433
SU86_006525	K02191
NADRNF5_0009	K03394
T478_0056	K05936
NDEV_0079	K05936
SU86_006555	K01776
SU86_006580	K01880
T478_0059	K01880
T478_0159	K05303
NADRNF5_2125	K00997
T478_0162	K05606
T478_0163	K02078
T478_1046	K05830
T478_1046	K05830
T478_1049	K05826
T478_1050	K05827
T478_1050	K05827
T478_1051	K05831
T478_1076	K02889
NADRNF5_0495	K04483
Nmar_1386	K04483
SU86_008795	K04483
NADRNF5_0493	K02983
T478_1080	K02823
NSED_00885	K06990
SU86_004385	K06990
NSED_00895	K04069
YM304_09780	K20276
SU86_002885	K03529
Nmar_0651	K03529
Nmar_0651	K03529
T478_0116	K02886
CENSYa_1970	K02886
SU86_006800	K01512
SU86_002875	K01881
NDEV_0749	K01881
T478_0546	K01881
SU86_002875	K01881
T478_0549	K01079
NDEV_0751	K01079
T478_0051	K09128
T478_0157	K01710
T478_1012	K07006
NADRNF5_0651	K18594
NSED_07270	K00260
T478_1059	K00260
SU86_006505	K09141
SU86_008730	K00555
NADRNF5_0486	K00555
T478_1086	K00555
Nmar_1393	K03470
NMSP_1151	K13953
T478_0391	K03263
NPIRD3C_1746	K06927
NPIRD3C_1722	K11646
NDEV_0547	K03785
NDEV_0547	K03785
NDEV_0543	K00014
NKOR_02845	K00891
NADRNF5_0320	K07142
NADRNF5_0321	K00796
NSED_00655	K00796
NADRNF5_0321	K00796
T478_1277	K00088
CENSYa_2008	K00088
SU86_002165	K02906
T478_0717	K02906
NKOR_04445	K02930
NMSP_0764	K02930
NMSP_0763	K02892
NPIRD3C_1415	K02965
NADRNF5_1265	K02965
NMSP_0761	K02890
NDEV_0664	K04566
NPIRD3C_1685	K04566
SU86_003195	K04566
Nmar_0696	K00003
NADRNF5_1446	K00003
SU86_002720	K03433
CENSYa_0261	K03433
NADRNF5_1474	K22699
T478_0553	K00384
NKOR_03450	K00384
NADRNF5_0490	K17828
T478_1082	K14564
Nmar_1392	K04795
Nmar_1393	K03470
NADRNF5_0486	K00555
T478_1085	K02427
