gene	speE	ferritin-like	gcvH	kat	proDH	metH	FDH	rocA	kal	LarA	pgi	pcm	alkA	Hef	Udg4	mpg	ogg	Hef	Udg5	POLD	ureA	nit2	ipct/dipps	CPA1	CPA2	CheA	cheB	cheY	cspC	cshA	FIaJ	HAAT	APC	mpnS	bioC	accC	accA
Candidatus_Nitrosocaldus_islandicus_isolate_3F	1	0	1	0	1	2	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	1	2	0	1	1	1	1	0	0	2	0	1	0	0	0	0
Candidatus_Nitrosocaldus_cavascurensis_strain	1	0	1	0	1	2	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	1	2	0	1	1	1	1	0	0	2	0	1	0	0	0	0
Nitrosocosmicus_oleophilus_strain_MY3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	1	2	3	0	0	0	0	1	0	0	2	0	0	1	0
Nitrosocosmicus_hydrocola_strain_G61	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0
Candidatus_Nitrosocosmicus_franklandus_C13	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	1	0	0	0	0
Nitrososphaera_gargensis_Ga9	0	2	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	2	0	4	1	1	1	0	1	3	0	3	0	0	0	0
Nitrososphaera_viennensis_EN76	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	2	0	3	1	1	1	0	2	2	0	2	0	0	0	0
Nitrososphaera_evergladensis_SR1	0	2	0	0	1	0	2	1	0	0	0	0	1	0	3	1	1	0	0	0	0	0	2	0	4	1	1	1	0	2	1	0	2	0	0	0	0
Nitrosotalea_sinensis_Nd2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	2	1	0	0	0	1	0	1	1	0	2	0	0	0	0
Nitrosotalea_bavarica_SbT1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	1	0	0	0	5	0	1	3	0	1	0	0	0	0
Nitrosotalea_koreensis_CS	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	2	1	0	1	1	4	0	1	3	0	1	0	0	0	0
Nitrosotalea_devanaterra_Nd1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	2	1	0	1	1	5	0	1	2	0	1	0	0	0	0
Nitrosotenuis_chungbukensis_MY2	1	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	1	0	3	1	1	10	0	1	4	0	2	0	0	0	0
Thaumarchaeota_archaeon_N4	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	1	0	1	1	1	8	0	1	5	0	2	0	0	0	0
Nitrosotenuis_cloacae_strain_SAT1	0	2	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	3	1	1	6	0	1	3	0	2	0	0	0	0
Nitrosotenuis_aquarius_strain_AQ6F	1	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	1	1	0	3	1	1	7	0	1	3	0	2	0	0	0	0
Nitrosopelagicus_brevis_strain_CN25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0
Nitrosopelagicus_brevis_U25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0
Nitrosopelagicus_sp_REDSEA-S31_B2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0
Candidatus_Nitrosopelagicus_sp_Isolate_GoM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Marine_Group_1_thaumarchaeote_sp_SCGC_AAA288_P02	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAA799-O18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0
Thaumarchaeota_archaeon_SCGC_AAA007-O23	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	1	0	0	0	0
AAA007-N19	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0
Marine_Group_1_crenarchaeote_sp_SCGC	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0
AAA288-D22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_1	0	0	0	0	1	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	1	1	4	0	1	3	0	0	0	0	0	0
HM82_Bin1	0	0	1	0	3	4	1	3	0	4	0	1	4	0	8	4	2	0	0	0	0	0	6	0	1	3	2	18	0	3	7	0	1	0	0	0	0
HM82_Bin2	0	0	0	0	4	4	0	4	0	3	0	1	4	0	5	4	1	0	0	0	0	0	2	0	1	3	3	13	0	1	4	0	0	0	0	0	0
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	2	0	0	0	0	0	0
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_3	0	0	0	0	1	5	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	1	1	4	0	1	3	1	0	0	0	0	0
HM81_Bin1	0	0	2	0	1	0	0	1	0	0	1	1	1	0	3	1	1	3	0	1	0	0	2	1	4	1	2	3	8	4	2	0	2	0	1	1	1
F	1	0	2	0	1	0	0	4	0	0	1	2	0	0	2	0	1	0	0	0	0	1	0	2	2	2	1	9	10	2	5	0	2	0	0	1	0
XS83_02	1	0	2	0	3	4	1	4	0	1	0	0	0	0	2	0	2	0	0	0	0	2	5	0	1	1	0	7	0	2	10	1	1	0	0	0	0
XS83_01	1	0	2	0	3	4	1	4	0	1	0	1	0	0	2	0	2	0	0	0	0	2	5	0	1	1	0	9	0	2	10	1	1	0	0	0	0
XS87_02	0	0	2	0	3	0	0	3	0	2	0	0	2	0	2	2	0	0	0	0	0	2	3	0	3	1	1	4	0	0	4	0	0	0	0	0	0
XS87_01	2	0	2	0	4	2	1	3	0	2	0	1	4	0	5	4	4	1	0	0	0	0	3	1	1	4	1	15	1	1	10	0	2	0	0	0	0
HM45_Bin1	0	0	1	0	5	4	2	6	1	3	0	1	4	0	6	4	1	0	0	0	0	0	3	0	3	0	0	11	0	1	10	2	3	0	0	0	0
EGM_Bin1	0	0	0	0	1	6	1	3	1	4	0	1	4	0	7	4	1	0	0	0	0	1	2	0	1	1	1	9	0	3	11	2	3	0	0	0	0
YK1312_12N_NP_theta	0	0	0	0	1	2	2	1	2	1	0	0	1	0	2	1	1	0	0	0	0	0	1	0	1	0	0	2	0	2	2	1	0	0	0	0	0
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_3	0	0	0	0	2	3	1	1	0	0	0	1	3	0	2	3	1	0	0	0	0	1	2	0	3	0	0	1	0	1	4	0	0	0	0	0	0
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_4	0	0	0	0	1	2	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_2	0	0	0	0	1	2	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_5	0	0	0	0	1	3	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_1	0	0	0	0	1	2	0	2	0	1	0	1	1	0	3	1	1	0	0	0	0	0	1	0	1	0	0	3	1	1	2	1	0	0	0	0	0
HM79_bin1	0	0	0	0	1	0	0	0	0	2	1	1	3	0	5	3	0	2	0	1	0	1	3	0	1	2	1	8	2	3	6	1	0	0	0	0	0
SMM_1	0	0	1	0	0	2	0	1	0	1	0	2	2	0	4	2	1	0	0	0	0	0	2	0	0	1	1	5	2	2	2	1	3	0	0	1	0
EGM_Bin2	0	0	2	0	0	1	0	4	2	2	0	3	2	0	5	2	1	0	0	0	0	0	3	0	2	3	1	4	0	4	4	3	4	0	0	0	0
HM58_Bin1	2	0	0	0	1	0	2	2	0	0	0	0	1	0	6	1	0	0	0	0	0	0	2	0	4	2	2	2	0	2	7	0	5	0	0	0	0
SB_01	0	0	1	0	3	3	1	3	1	0	0	0	6	0	8	6	1	1	0	0	0	2	3	0	1	0	0	9	0	0	7	0	5	0	0	0	0
HM45_Bin2	2	0	1	0	1	0	0	0	2	1	1	1	3	0	4	3	1	0	0	0	0	1	6	0	3	6	1	13	3	3	12	0	4	0	0	0	1
HM81_Bin2	0	0	0	0	2	0	0	2	0	1	0	2	2	0	3	2	1	0	0	0	0	1	3	0	3	2	1	9	0	0	7	2	1	0	0	0	0
SB_02	0	0	1	0	1	2	1	2	1	2	0	1	4	0	4	4	2	0	0	0	0	1	1	0	1	4	2	8	0	1	4	1	3	0	0	0	0
Nitrosoarchaeum_sp_BD3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	9	1	1	0	0	0	0	0	0	0
Nitrosoarchaeum-Baikal-G1-C1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0
Nitrosarchaeum_koreense_MY1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	3	0	0	8	1	1	3	0	1	0	0	0	0
Nitrosarchaeum_limnium_SFB1	0	1	0	0	1	0	0	3	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	2	1	15	1	2	3	0	2	0	0	0	0
Nitrosarchaeum_limnium_BG20	0	1	0	0	2	0	0	1	0	0	0	2	1	0	1	1	2	0	0	0	0	0	1	0	2	1	1	9	1	1	4	0	1	0	0	0	0
MTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosopumilus_salaria_BD31	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	1	1	0	1	0	0	2	1	1	1	0	3	1	0	0	0
Nitrosopumilus_sp_DDS1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	2	1	2	0	0	0	0	0	1	0	3	1	2	14	1	1	5	0	2	0	0	0	0
Nitrosopumilus_adriaticus_strain_NF5	0	1	0	0	1	0	0	1	0	0	0	1	1	0	2	1	1	0	0	0	0	0	1	0	2	1	1	16	1	1	3	0	1	0	0	0	0
Nitrosopumilus_sp_Nsub	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0
Nitrosomarinus_catalina_strain_SPOT01	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0
Nitrosopumilus_maritimus_SCM1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	0	0	0	0	0	1	0	1	0	0	6	1	1	0	0	1	1	0	0	0
Nitrosopumilus_sp_D3C	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	0	1	1	0	1	0	0	1	1	1	2	0	1	0	0	0	0
Nitrosopumilus_koreensis_AR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	1	1	0	1	0	0	6	1	1	3	0	1	0	0	0	0
