NADRNF5_2213	K01880
NADRNF5_1996	K03622
NSED_01190	K00239
NPIRD3C_0649	K00241
NSED_01200	K00242
NKOR_01150	K00240
NPIRD3C_0653	K01755
NADRNF5_1985	K02492
NSED_01235	K00528
NPIRD3C_0658	K01092
NSED_01250	K04800
NSED_01260	K18604
NMSP_1437	K18603
NADRNF5_1976	K18605
NPIRD3C_0665	K24129
NADRNF5_1974	K00330
NSED_01285	K00331
NMSP_1431	K00333
NPIRD3C_0670	K00337
NSED_01305	K00338
NPIRD3C_0673	K05576
NPIRD3C_0674	K00342
NPIRD3C_0675	K00341
NSED_01330	K00343
NADRNF5_1964	K02523
NSED_01340	K06137
NPIRD3C_0679	K00762
NKOR_01305	K03789
NPIRD3C_0684	K15429
NKOR_01320	K06174
NSED_01430	K01255
NADRNF5_1952	K00615
NMSP_1409	K00615
NSED_01455	K00616
Nmar_0303	K03284
NKOR_01385	K09721
NKOR_01390	K05710
NPIRD3C_0713	K01885
NKOR_01415	K13787
NKOR_01420	K01823
NSED_01515	K06981
NSED_01520	K00869
NDEV_0282	K06990
NPIRD3C_0718	K02967
NKOR_01440	K01689
NADRNF5_1934	K03058
NADRNF5_1933	K07477
NMSP_1387	K17759
NPIRD3C_0724	K01069
NKOR_01475	K00820
NADRNF5_1926	K02986
NKOR_01485	K02952
NSED_01620	K06898
NPIRD3C_0742	K00024
NSED_01630	K09121
NADRNF5_1912	K06864
NADRNF5_1911	K04487
NKOR_01585	K03053
NSED_01670	K13798
Nmar_0348	K03041
NPIRD3C_0753	K04796
NADRNF5_1900	K02908
Nmar_0353	K02600
NADRNF5_1898	K02950
NSED_01710	K02992
NADRNF5_1895	K06940
NADRNF5_0565	K15977
NMSP_1348	K01869
NSED_01805	K01872
NDEV_0324	K02869
NSED_01840	K02864
Nmar_0382	K02863
NKOR_01795	K03718
NADRNF5_1794	K02867
NADRNF5_1793	K02601
NPIRD3C_1981	K07342
NADRNF5_1791	K09716
Nmar_0388	K00567
NADRNF5_1789	K02885
NADRNF5_1788	K02912
NMSP_1333	K01610
NKOR_01935	K14647
NADRNF5_1785	K04564
NADRNF5_1784	K04797
NSED_01910	K03110
NPIRD3C_1969	K00611
NADRNF5_1781	K02881
NKOR_01975	K02988
NADRNF5_1779	K02907
Nmar_0401	K02876
NADRNF5_1777	K03076
NSED_01950	K00939
Nmar_0405	K00945
NSED_01965	K11131
NADRNF5_1767	K15736
NSED_02140	K00015
NMSP_1312	K00174
NMSP_1311	K00175
NADRNF5_1753	K01703
NADRNF5_1752	K01704
NKOR_02100	K01703
NPIRD3C_1939	K01704
NMSP_1302	K00966
NKOR_02115	K02996
NKOR_02120	K02871
NMSP_1299	K02883
NKOR_02130	K03047
NMSP_1297	K14574
NADRNF5_1743	K03679
NADRNF5_1742	K11600
Nmar_0433	K12589
NKOR_02160	K02921
NKOR_02170	K04798
NSED_02270	K10848
NADRNF5_1736	K01011
NADRNF5_1735	K07060
Nmar_0440	K00858
NPIRD3C_1919	K01011
NSED_02310	K03455
NPIRD3C_1910	K02866
Nmar_0450	K01170
NPIRD3C_1820	K14741
NADRNF5_1710	K01990
NKOR_02475	K01992
NPIRD3C_1807	K02040
NPIRD3C_1803	K02037
NADRNF5_1836	K02038
NPIRD3C_1801	K02036
Nmar_0484	K02039
NSED_02415	K07220
SU86_003465	K03306
NPIRD3C_0359	K07755
T478_0959	K03741
NADRNF5_1702	K06188
NADRNF5_1698	K01845
NSED_02460	K01749
NKOR_02530	K02303
NADRNF5_1695	K01719
NKOR_05530	K01183
NKOR_02540	K09014
NKOR_02545	K09014
NKOR_02555	K11717
NKOR_02560	K04488
NADRNF5_1688	K00927
Nmar_0507	K06950
NSED_05640	K22491
Metev_1136	K01669
NADRNF5_1677	K01698
NPIRD3C_1769	K02492
Nmar_0511	K24866
NPIRD3C_1766	K22225
NSED_02590	K09131
NKOR_02665	K09013
NADRNF5_1668	K03124
Nmar_0519	K03105
NSED_02615	K02995
NADRNF5_1664	K06024
NADRNF5_1663	K05896
NKOR_02700	K13953
Nmar_0525	K06940
NSED_02650	K03236
NSED_02655	K03704
CENSYa_0419	K03263
NMSP_1144	K06927
NSED_02675	K03106
NSED_02680	K07583
NADRNF5_1647	K02977
NPIRD3C_1740	K09763
NKOR_02775	K15635
NADRNF5_1643	K00965
NADRNF5_1641	K00621
NADRNF5_1640	K00966
NADRNF5_1639	K21219
NKOR_02815	K03147
NPIRD3C_1730	K03574
NKOR_02825	K04517
NADRNF5_1634	K00812
NKOR_02835	K01736
Nmar_0548	K00800
NADRNF5_1629	K00891
NKOR_02850	K00014
NMSP_1120	K03785
Nmar_0552	K11646
NADRNF5_1625	K16306
NPIRD3C_1720	K11784
NPIRD3C_1719	K03182
NADRNF5_1620	K03564
NPIRD3C_1713	K09866
NSED_02985	K01246
NSED_03000	K02217
NADRNF5_1585	K04566
NADRNF5_1584	K07739
NKOR_03035	K01933
NPIRD3C_1679	K06869
NADRNF5_1569	K11781
Nmar_0593	K11780
NADRNF5_1562	K06878
NKOR_03125	K03120
NMSP_1073	K01265
NADRNF5_0202	K18235
NADRNF5_0559	K09771
NADRNF5_0558	K09771
Mboo_0154	K07448
NADRNF5_1534	K09140
NSED_03180	K02035
Nmar_0620	K08979
NADRNF5_1529	K07143
CENSYa_1212	K03113
NADRNF5_1526	K03124
NADRNF5_1525	K14941
Nmar_0626	K11212
NSED_03245	K17830
NSED_03265	K00020
NSED_05625	K02016
NADRNF5_0975	K22585
NADRNF5_1506	K04479
NKOR_03345	K03622
NSED_03335	K06869
Nmar_0648	K00809
NADRNF5_1855	K13993
NADRNF5_1499	K01858
Nmar_0651	K03529
NSED_03365	K18911
NPIRD3C_1609	K01881
NADRNF5_1489	K01079
NADRNF5_1488	K12234
NADRNF5_1486	K04085
NSED_03500	K12339
NKOR_03450	K00384
NADRNF5_1474	K22699
NKOR_03500	K00392
NADRNF5_1472	K01011
NPIRD3C_1578	K06944
NKOR_03530	K22223
NADRNF5_1464	K01887
NKOR_03555	K07442
NSED_03580	K17758
NADRNF5_1451	K15977
NADRNF5_1449	K03433
Nmar_0696	K00003
Nmar_0697	K07305
SU86_000365	K05794
NVIE_021310	K19694
NTE_01473	K03124
NDEV_0880	K12137
NTE_02452	K12140
NDEV_0883	K12141
NPIRD3C_1545	K01895
NADRNF5_1437	K04799
NADRNF5_1851	K01768
NSED_03590	K15977
SU86_005270	K07566
SU86_008200	K03282
NADRNF5_1420	K02034
NKOR_03685	K02033
NADRNF5_0373	K03120
Nmar_0729	K04564
NPIRD3C_0281	K03124
NPIRD3C_1498	K18285
NKOR_04180	K03498
NKOR_04875	K00812
Nmar_0746	K11785
NKOR_03855	K03234
NSED_01780	K01174
NADRNF5_0534	K06893
NSED_01080	K21138
NADRNF5_1308	K06863
NMY3_02070	K07001
NKOR_04245	K03186
NKOR_04255	K03116
NKOR_04260	K03118
SU86_001730	K09807
Nmar_0777	K23264
NPIRD3C_1444	K23265
NKOR_04295	K23269
NADRNF5_1296	K00764
NKOR_04320	K01923
Nmar_0794	K02933
NMSP_0751	K02994
NADRNF5_1275	K02954
NKOR_04390	K02931
NPIRD3C_1423	K02987
NSED_04435	K02895
NSED_04440	K02874
NSED_04445	K02961
Nmar_0802	K03538
NADRNF5_1268	K02904
NPIRD3C_1417	K02982
NADRNF5_1266	K02890
NSED_04470	K02965
NADRNF5_1264	K02892
NKOR_04445	K02930
NADRNF5_1262	K02906
NKOR_04455	K09142
NPIRD3C_1410	K03432
Nmar_0812	K09738
NKOR_04485	K06196
NADRNF5_0520	K03413
NKOR_04490	K00639
NSED_06540	K23356
NSED_04535	K01012
NPIRD3C_1380	K00833
SU86_002750	K03413
NSED_06570	K03124
NMSP_0942	K03120
NMSP_0785	K01935
NKOR_04550	K01641
Nmar_0831	K00150
NKOR_04590	K03699
NKOR_04595	K01733
NPIRD3C_1362	K07068
NADRNF5_1222	K00626
NSED_04635	K00320
NKOR_04670	K00966
Nmar_0846	K01589
NADRNF5_1214	K01588
NSED_04675	K01754
NADRNF5_1211	K01768
NADRNF5_1206	K01759
NADRNF5_1199	K00798
NKOR_04755	K07023
NSED_04760	K23356
NSED_04795	K04748
NSED_04810	K07332
NDEV_0975	K07333
NADRNF5_1191	K07991
NKOR_04855	K23356
NSED_04815	K02483
NADRNF5_1187	K01895
Nmar_0868	K02434
NSED_04855	K02433
Nmar_0870	K02435
NKOR_04905	K09759
NADRNF5_1179	K06863
NKOR_04925	K01473
NSED_05845	K07243
NKOR_04975	K03265
NPIRD3C_1313	K02503
NPIRD3C_1310	K01687
NPIRD3C_1305	K03722
NPIRD3C_1516	K07159
NKOR_06160	K00721
NPIRD3C_1269	K01657
NKOR_05135	K01658
Nmar_0913	K00766
NADRNF5_1091	K01609
NADRNF5_1090	K01696
NSED_05130	K01695
NADRNF5_1087	K01937
Nmar_0921	K00858
NADRNF5_1079	K02976
NADRNF5_1078	K17884
NPIRD3C_1253	K01480
NSED_05170	K01868
NSED_05805	K03498
NADRNF5_1067	K00809
NKOR_05225	K02975
NPIRD3C_1247	K09143
Nmar_0932	K03014
NPIRD3C_1245	K03622
NSED_05215	K07108
Nmar_0935	K01953
NADRNF5_1055	K02548
NADRNF5_1052	K23255
NSED_05285	K07332
NSED_05290	K07333
NKOR_05320	K07333
NSED_05300	K23356
NSED_05330	K23356
NADRNF5_2089	K03413
NADRNF5_1039	K03413
Nmar_0942	K03769
NKOR_08270	K03120
SU86_002940	K10389
NSED_05400	K01493
NADRNF5_1027	K02319
Nmar_0949	K15383
Nmar_0950	K01803
NDEV_1533	K04750
NSED_05420	K01006
NADRNF5_1020	K05606
NSED_05460	K01848
NMSP_0673	K07588
NADRNF5_1014	K13722
NADRNF5_1006	K01849
NPIRD3C_1205	K00053
Nmar_0960	K00952
NSED_05545	K01874
NSED_05550	K01251
NADRNF5_0989	K05710
NADRNF5_0987	K01916
Nmar_0967	K01883
NADRNF5_0956	K06942
Nmar_0982	K06929
NSED_05680	K03524
NADRNF5_0949	K03124
NPIRD3C_1160	K07101
NPIRD3C_1158	K22881
NSED_05715	K03821
NKOR_05620	K05714
NADRNF5_0939	K07304
NADRNF5_0925	K01845
NADRNF5_0906	K02503
NSED_00455	K03183
NKOR_09665	K13993
NKOR_05740	K15016
Nmar_1032	K03059
NSED_06085	K02946
NADRNF5_0896	K03231
NADRNF5_0895	K01622
NPIRD3C_1119	K10747
NSED_06110	K07220
NMSP_0593	K01170
NSED_06140	K07090
Nmar_1050	K09005
NVIE_012280	K01174
SU86_002510	K03762
Nmar_1054	K06865
NADRNF5_0878	K03413
NADRNF5_0876	K07678
NADRNF5_0873	K21929
NPIRD3C_1057	K03652
NPIRD3C_1053	K02031
NPIRD3C_1051	K09759
NKOR_06420	K00052
NADRNF5_0861	K01649
NKOR_06435	K01653
NMSP_0545	K01652
NPIRD3C_1041	K08321
NKOR_06455	K00008
NPIRD3C_1039	K02122
NSED_06310	K06953
NKOR_06485	K01955
NADRNF5_0849	K01956
NSED_06350	K23356
Nmar_1098	K07463
NSED_06385	K01647
Nmar_1103	K03703
NPIRD3C_1004	K03701
Nmar_1105	K03702
NSED_06420	K07005
NKOR_06605	K14728
NPIRD3C_0997	K18602
NADRNF5_0777	K11529
NADRNF5_0775	K07577
NADRNF5_2049	K13280
NSED_01780	K01174
BRW62_05365	K01154
Metok_1378	K01153
GK1381	K01154
Metok_1382	K03427
AOA66_1682	K12574
NVIE_006870	K07452
Nmar_0610	K03427
NKOR_06635	K11175
Nmar_1117	K01491
NSED_06480	K01934
Nmar_1119	K01945
NSED_06490	K01870
NADRNF5_0765	K01903
NSED_06510	K01902
NSED_06540	K23356
NSED_06555	K01507
NADRNF5_0752	K08602
NKOR_06740	K02626
NKOR_06755	K05592
NSED_07415	K07045
NADRNF5_0094	K05802
NPIRD3C_0227	K01915
Nmar_1191	K06888
Ngar_c02230	K06911
NSED_06790	K13953
18778904	K15047
NSED_06825	K06176
NPIRD3C_0903	K18235
NSED_06835	K04794
NADRNF5_0721	K03232
NPIRD3C_0891	K02257
Nmar_1227	K21140
SU86_005280	K04047
NADRNF5_0712	K15987
NKOR_06995	K09735
NPIRD3C_0877	K03593
Nmar_1235	K03049
NADRNF5_0707	K03050
NPIRD3C_0874	K00767
NSED_06945	K03517
NADRNF5_0703	K06989
NPIRD3C_0866	K06915
NADRNF5_0698	K03547
Nmar_1245	K03546
NKOR_07105	K02877
NADRNF5_0686	K00058
NPIRD3C_0854	K00368
NADRNF5_0684	K01744
NKOR_07200	K15865
NPIRD3C_0851	K03531
NADRNF5_0681	K02910
NSED_07085	K02924
NKOR_07230	K00548
NPIRD3C_0845	K00548
NADRNF5_0673	K02050
Nmar_1284	K02049
NMSP_0406	K02051
NKOR_07260	K01940
NKOR_07265	K05826
NSED_07150	K05827
NSED_07155	K05829
NSED_07160	K05828
NADRNF5_0665	K05830
Nmar_1294	K05826
NSED_07185	K05827
Nmar_1296	K05831
NADRNF5_0659	K20215
NSED_07205	K14656
NSED_07210	K07732
NADRNF5_0656	K02316
NKOR_07345	K13628
NMSP_0386	K15019
NADRNF5_0651	K18594
NADRNF5_0626	K00260
NSED_07280	K03432
NPIRD3C_0810	K03183
NPIRD3C_0809	K08153
NADRNF5_0621	K04751
NPIRD3C_0807	K03116
NADRNF5_0619	K00571
NSED_07310	K06877
NKOR_07485	K03163
SU86_005830	K03455
NTE_01565	K03455
Ngar_c31130	K07104
NSED_06680	K00368
NKOR_08150	K03413
NADRNF5_0503	K03651
NKOR_07655	K00030
NADRNF5_0501	K02493
NADRNF5_0500	K02528
NKOR_07670	K07572
NADRNF5_0497	K02889
Nmar_1385	K06941
NPIRD3C_2047	K04483
NPIRD3C_2048	K02983
Nmar_1389	K02823
NPIRD3C_2051	K17828
NPIRD3C_2052	K14564
Nmar_1392	K04795
Nmar_1393	K03470
NADRNF5_0486	K00555
NPIRD3C_2056	K02427
NPIRD3C_2061	K00759
NADRNF5_0479	K00772
NSED_07730	K03166
NKOR_07765	K03167
NKOR_07770	K06961
Nmar_1410	K07178
NADRNF5_0469	K09148
NSED_07755	K03238
NSED_07770	K08975
Nmar_1416	K15888
NPIRD3C_2078	K01518
NADRNF5_0461	K01591
NKOR_07825	K01939
NKOR_07865	K06963
NKOR_07875	K02962
NKOR_07880	K03424
NPIRD3C_2098	K24450
NKOR_07930	K00946
NADRNF5_0434	K02948
Nmar_1453	K14415
NSED_08020	K01756
NSED_08025	K01953
NSED_08030	K01724
NADRNF5_0422	K01737
NADRNF5_0421	K01873
NADRNF5_0418	K08681
NKOR_08010	K06215
NSED_08165	K01681
Nmar_1488	K01890
NADRNF5_0407	K01889
NKOR_08090	K01867
Nmar_1494	K02201
NDEV_1765	K07498
NPIRD3C_2146	K06223
NMSP_0259	K10944
NSED_08265	K10946
NADRNF5_0391	K10945
NKOR_08210	K02956
NADRNF5_0384	K07462
Nmar_1511	K01875
NSED_08315	K02984
NADRNF5_0380	K07581
NSED_08330	K04748
NADRNF5_0375	K01738
NKOR_08270	K03120
NKOR_08290	K04751
NADRNF5_0366	K05540
NKOR_08320	K15449
NPIRD3C_0003	K02428
NKOR_08330	K08851
NSED_08430	K01409
NSED_08435	K06942
NSED_08440	K18532
NADRNF5_0355	K18779
NADRNF5_0352	K07577
NSED_08465	K03660
NSED_08480	K00412
NADRNF5_0347	K15878
NADRNF5_0343	K21029
NKOR_08425	K01733
NPIRD3C_0083	K01496
NSED_00745	K02500
NADRNF5_0338	K01814
NMSP_0206	K02501
NMSP_0205	K01693
NADRNF5_0334	K00817
NSED_00715	K00013
NSED_00710	K00765
NSED_00705	K00054
NSED_00695	K06932
NKOR_08505	K07561
NADRNF5_0325	K07573
NSED_00670	K04518
NKOR_08535	K00088
NADRNF5_0321	K00796
NSED_00650	K07142
Nmar_1573	K01951
NADRNF5_1460	K07006
Nmar_1576	K00847
NKOR_08575	K22447
NADRNF5_0313	K01486
Nmar_1579	K02929
NSED_00605	K02978
NADRNF5_0311	K19712
NSED_00595	K02233
Nmar_1583	K02227
NSED_00585	K02232
Nmar_1585	K04720
NADRNF5_0306	K00133
NDEV_1954	K03718
NKOR_08645	K02257
MSWHS_3395	K03413
NKOR_08690	K16874
NPIRD3C_0453	K02107
Nmar_1602	K03626
NADRNF5_0282	K07398
NSED_08690	K03665
NMSP_1548	K07254
Nmar_1607	K03136
NPIRD3C_0445	K18601
Nmar_1612	K14654
NPIRD3C_0439	K08096
NADRNF5_0269	K00794
NADRNF5_0268	K02858
NPIRD3C_0436	K00793
NSED_08760	K03413
NKOR_08820	K01644
NSED_08785	K06875
NADRNF5_0259	K02966
NKOR_08840	K03540
NADRNF5_0255	K14568
Nmar_1627	K00525
NSED_08875	K21636
NADRNF5_0250	K07068
NSED_08890	K00626
NPIRD3C_0420	K07479
Nmar_1633	K11206
NADRNF5_0246	K01821
NKOR_08935	K14166
Nmar_1653	K09816
NADRNF5_0232	K09817
NADRNF5_0231	K09815
NSED_08965	K07722
NKOR_08965	K07157
NKOR_08970	K00609
Nmar_1687	K00610
NMSP_1603	K02124
NMSP_1605	K02120
NPIRD3C_0348	K02118
NKOR_08995	K02117
NPIRD3C_0346	K02121
NKOR_09005	K02123
NSED_09030	K01011
NKOR_09015	K03320
NKOR_09025	K02119
NADRNF5_0177	K07464
NSED_09075	K09903
NADRNF5_0172	K06885
NADRNF5_0171	K00943
NADRNF5_0165	K13993
NKOR_09100	K09810
Nmar_1714	K09808
NKOR_09115	K01515
Nmar_1718	K06982
NKOR_09130	K09722
NPIRD3C_0169	K00606
Nmar_1721	K13038
NADRNF5_0146	K00566
NADRNF5_0145	K09152
NSED_09195	K07041
NADRNF5_0143	K03433
Nmar_1729	K00096
NADRNF5_0139	K00952
NPIRD3C_0183	K01974
NSED_09240	K04719
NKOR_09245	K03768
NSED_09300	K00577
NADRNF5_0122	K13010
NSED_09325	K01866
NADRNF5_0117	K05934
NKOR_09320	K00928
NADRNF5_0114	K04802
NPIRD3C_0207	K03057
NSED_09395	K14165
NDEV_2096	K04069
NADRNF5_0107	K07130
NSED_09410	K11717
NADRNF5_0621	K04751
NKOR_09410	K22736
NSED_03450	K00024
NSED_09475	K03294
NSED_09505	K00948
NADRNF5_0092	K07446
NADRNF5_0091	K00784
Nmar_1777	K12410
Nmar_1779	K09736
NADRNF5_0086	K01975
NADRNF5_0085	K07558
Nmar_1783	K07176
NSED_09560	K17218
NPIRD3C_0245	K09723
NPIRD3C_0246	K01915
NKOR_09530	K22447
Nmar_1793	K00600
NPIRD3C_0250	K02322
Nmar_1795	K17104
NPIRD3C_0256	K10725
NADRNF5_0066	K02323
NMSP_0004	K03399
NPIRD3C_0266	K03768
NSED_09675	K03885
NADRNF5_0058	K13993
NADRNF5_0057	K13525
NADRNF5_0054	K03124
NKOR_09650	K06199
NSED_09450	K04751
NKOR_03060	K04751
NPIRD3C_1670	K03320
NPIRD3C_0284	K00860
NPIRD3C_0285	K01082
NDEV_0038	K03124
NADRNF5_0031	K10026
NPIRD3C_0299	K01495
NPIRD3C_0301	K06920
NKOR_09790	K00872
NSED_09835	K24104
NPIRD3C_0305	K07027
NSED_09845	K07124
NKOR_09830	K00390
NSED_09875	K00958
NPIRD3C_0318	K09128
NADRNF5_0015	K10773
NMSP_0063	K01776
NPIRD3C_0323	K05936
NKOR_00020	K03394
NSED_09915	K02191
NSED_01055	K09122
SU86_006505	K09141
NADRNF5_0001	K21449
NKOR_07485	K03163
NPIRD3C_0158	K01880
NADRNF5_0002	K01776
NADRNF5_0114	K04802
NPIRD3C_0207	K03057
NPIRD3C_0212	K14165
NDEV_2096	K04069
NADRNF5_0107	K07130
NSED_09410	K11717
NCAV_1724	K04751
NSED_03450	K00024
NSED_09475	K03294
AOA66_0981	K07301
NSED_09505	K00948
NSED_09510	K07446
NKOR_09445	K07446
NSED_09515	K00784
NPIRD3C_0233	K12410
NADRNF5_0250	K07068
NSED_08890	K00626
NADRNF5_0248	K07479
Nmar_1633	K11206
NADRNF5_0247	K11206
NADRNF5_0246	K01821
NADRNF5_0234	K14166
NPIRD3C_0403	K09816
NADRNF5_0232	K09817
NSED_08960	K09815
NSED_08965	K07722
NSED_08975	K07157
NPIRD3C_0353	K00609
Nmar_1687	K00610
NMSP_1603	K02124
NKOR_08985	K02120
NPIRD3C_0348	K02118
NKOR_08995	K02117
Nmar_1692	K02121
NKOR_09005	K02123
NKOR_09005	K02123
NADRNF5_0182	K01011
NKOR_09015	K03320
NKOR_09025	K02119
NADRNF5_0177	K07464
Nmar_1705	K09903
NADRNF5_0172	K06885
NKOR_09065	K00943
NADRNF5_0165	K13993
Nmar_1713	K09810
NADRNF5_0158	K09808
NKOR_09115	K01515
Nmar_1718	K06982
NSED_09155	K09722
NADRNF5_0153	K09722
NPIRD3C_0169	K00606
NSED_09165	K13038
Nmar_1721	K13038
NMSP_1642	K01262
NPIRD3C_0174	K01262
NADRNF5_0146	K00566
NSED_09195	K07041
NADRNF5_0143	K03433
Nmar_1729	K00096
NSED_09220	K00952
NPIRD3C_0183	K01974
NADRNF5_0137	K07245
Nmar_1736	K04719
NPIRD3C_0190	K03768
NMSP_1666	K00577
NSED_09305	K13010
NKOR_09305	K01866
NADRNF5_0117	K05934
NKOR_09320	K00928
NSED_09340	K00928
NKOR_01585	K03053
NADRNF5_1905	K13798
Nmar_0348	K03041
NPIRD3C_0753	K04796
Nmar_0100	K09482
NSED_00215	K13525
NADRNF5_1004	K00952
NADRNF5_1005	K00053
NADRNF5_1006	K01849
NADRNF5_1014	K13722
NMSP_0673	K07588
Nmar_0955	K07588
NPIRD3C_1210	K01848
NADRNF5_1020	K05606
NSED_05805	K03498
Nmar_0926	K01868
NADRNF5_1075	K01868
NADRNF5_1076	K01480
NPIRD3C_1253	K01480
NADRNF5_1078	K17884
NADRNF5_1079	K02976
NSED_05650	K03124
NSED_05650	K03124
NSED_05780	K01845
NPIRD3C_1003	K03702
Nmar_1104	K03701
NSED_00650	K07142
NSED_06095	K01622
NADRNF5_0896	K03231
Nmar_1033	K02946
NADRNF5_0898	K03059
NKOR_06690	K02927
NSED_06510	K01902
NADRNF5_0765	K01903
NMSP_0502	K01870
Nmar_1119	K01945
Nmar_1118	K01934
Nmar_1117	K01491
NKOR_06635	K11175
NADRNF5_2088	K22010
NSED_05420	K01006
NDEV_1533	K04750
Nmar_0950	K01803
Nmar_0949	K15383
NSED_05405	K02319
NADRNF5_1027	K02319
Nmar_0948	K02319
NADRNF5_1028	K01493
NDEV_1590	K07374
NPIRD3C_1305	K03722
NPIRD3C_0904	K06176
NADRNF5_0735	K06888
Nmar_1191	K06888
NMSP_0056	K09128
NKOR_00040	K09128
SU86_006505	K09141
Nmar_1391	K14564
NADRNF5_0490	K17828
Nmar_1389	K02823
NPIRD3C_2048	K02983
NPIRD3C_2047	K04483
NPIRD3C_2045	K06941
NADRNF5_0497	K02889
NADRNF5_0499	K07572
NADRNF5_0500	K02528
NADRNF5_0501	K02493
NKOR_07655	K00030
NADRNF5_0503	K03651
NKOR_08150	K03413
NDEV_0324	K02869
NSED_01840	K02864
NKOR_01790	K02863
NKOR_01795	K03718
NSED_05845	K07243
NKOR_04925	K01473
NKOR_04925	K01473
NKOR_04920	K06863
NMSP_0856	K06863
NKOR_04905	K09759
NADRNF5_1182	K09759
NADRNF5_1184	K02433
Nmar_0868	K02434
NSED_04850	K02434
NSED_04840	K01895
NADRNF5_1187	K01895
NKOR_04855	K23356
NADRNF5_1191	K07991
NSED_04760	K23356
Nmar_1607	K03136
NADRNF5_0279	K07254
NPIRD3C_0449	K03665
Nmar_1563	K07561
NSED_00690	K07561
NADRNF5_0001	K21449
NADRNF5_0001	K21449
NADRNF5_0001	K21449
NADRNF5_0322	K00088
Csac_0100	K06920
T478_0278	K01737
Calkr_2542	K06915
NMSP_1348	K01869
NKOR_01715	K01869
SU86_008200	K03282
NADRNF5_1463	K00027
NADRNF5_1851	K01768
Nmar_1563	K07561
Nmar_1563	K07561
NSED_05640	K22491
NSED_05640	K22491
NTE_01304	K17105
NADRNF5_0895	K01622
NPIRD3C_1119	K10747
NSED_06110	K07220
NKOR_05795	K01170
NSED_06140	K07090
NSED_06150	K09005
SU86_002510	K03762
Nmar_1054	K06865
SU86_000955	K03413
NADRNF5_0876	K07678
NKOR_06370	K21929
Nmar_1057	K03652
NKOR_06395	K02031
NSED_06225	K09759
NSED_02425	K07086
NKOR_08520	K07573
THII_3832	K20276
NADRNF5_1851	K01768
CKY39_23300	K20276
NSED_02670	K06927
NADRNF5_1653	K03106
NADRNF5_0331	K00054
NSED_00695	K06932
NADRNF5_2208	K01951
NKOR_00080	K09118
NKOR_09830	K00390
Nmar_0050	K00958
NPIRD3C_0314	K00958
Nmar_1267	K00548
NSED_06790	K13953
NPIRD3C_0912	K13953
NSED_06825	K06176
NMSP_0200	K00054
NSED_00710	K00765
NSED_00715	K00013
NSED_00715	K00013
NMSP_0203	K00817
NSED_08875	K21636
NADRNF5_0001	K21449
Nmar_1262	K03531
Nmar_1261	K15865
NADRNF5_0684	K01744
NKOR_07190	K00368
NADRNF5_0686	K00058
NMSP_0424	K02877
NADRNF5_0814	K07325
NADRNF5_0815	K07325
